id	name	str	icon	Desc
1030070	跳跳眼	a,	icon.accessory_beetle_eye_i00	a,
1030071	玩偶熊壺精 7日/組	u,復活\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030072	黑色招財貓壺精 7日/組	u,返回\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030073	白色招財貓壺精 7日/組	u,復活\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030074	活力維持組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030075	活力充能組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030076	萬聖夜帽子	a,	icon.accessory_halloween_cap_i00	a,
1030077	萬聖夜南瓜變身魔杖 30日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030078	萬聖夜稻草人變身魔杖 30日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030079	萬聖夜銀色貓帽 30日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030080	銀色貓帽	a,	icon.accessory_chi_the_cat_cap_i00	a,
1030081	黃金傑克南瓜面具 7日/組	u,黃金傑克南瓜的權能-在10分鐘內增加隊伍成員的HP最大值40%、MP最大值40%、CP最大值40%、物理防禦力30%、魔法防禦力30%、移動速度30%。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030082	白耳畫眉壺精	a,	BranchSys.icon.br_aga_bluebird_i00	a,
1030083	冠羽畫眉壺精	a,	BranchSys.icon.br_aga_hatbird_i00	a,
1030084	特大時空之愛組合包	a,	icon.etc_pi_gift_box_i04	a,
1030085	眼怪帽 30日/組	a,	icon.etc_pi_gift_box_i01	a,
1030086	蘑菇帽 30日/組	a,	icon.etc_pi_gift_box_i01	a,
1030087	元寶牛壺精 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030088	吉利牛壺精 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030089	小天使之翼 7日/組	u,魔力再生\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030090	白羽黃金假面 7日/組	u,魔力再生\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030091	塑膠假髮 7日/組	u,祝福返回\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030092	塑膠假髮	a,	BranchSys.icon.br_plastic_hair_f_i00	a,
1030093	平安夜A級禮品組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030094	平安夜S級禮品組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030095	麋鹿的禮物	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030096	元氣暴走組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030097	金喜開運箱	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030098	永保安康組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030099	衝等得來速	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030100	閃光護目鏡	a,	BranchSys.icon.br_goggles_i00	a,
1030101	新生茁壯配方	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030102	招財進寶禮盒	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030103	滿漢全席套餐	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030104	財神活力旺	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030105	爆竹六星彩	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030106	步步高升禮盒	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030107	鴻運當頭禮盒	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030108	花之嫁衣	u,柔情萬千的唯美嫁紗，搭配著浪漫的花冠，成為今生最美的新娘。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030109	白羽燕尾服	u,玉樹臨風的燕尾服，搭配著帥氣的白羽黃金假面，成為最奢華有型的新郎。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030110	結婚賀禮	u,在婚宴中可贈予親友的結婚賀禮，除了有象徵深厚情誼的友情手鐲之外，還贈送了濃郁巧克力味道的活力喜餅~~\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030111	進階型玫瑰精靈交換券	u,可向活動NPC兌換限時5小時的玫瑰項鍊，用來召喚造型細緻可愛的玫瑰精靈，它擁有高級狩獵幫手相似的輔助實用功能。\0	icon.etc_ticket_red_i00	a,
1030112	刺客斗笠 7日/組	u,俠客造型的斗笠頭飾。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030113	經驗值古文強效組合	u,只要使用此道具，狩獵所獲得的經驗值可增加50%。買5送1的超低價組合包，輔助玩家更輕鬆升等。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030114	不死狩獵禮盒	u,狩獵季節的超強組合，除了有超強的狩獵幫手輔助狩獵，還可自體復活的不死力量。內含3張高級狩獵幫手交換劵，2張祝福的羽毛以及2個活力維持藥水的超值組合。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030115	薄暮皇室王冠	u,貴氣逼人的金屬光澤，打造王者風範的王冠頭飾。適合搭配薄暮套裝，使用期限30日。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030116	薄暮皇室頭箍	u,中間鑲有紅寶石的皇室頭箍，讓你擁有傲視群雄的王者姿態。適合搭配薄暮套裝，使用期限30日。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030117	貴族角冠	u,戴上霸氣的角冠造型頭飾，更強化戰士的英勇姿態。適合搭配薄暮套裝，使用期限30日。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030118	華飾良駒組合	u,永久的淡紫鬃馬坐騎、搭配具有不滅的冒險者靈魂之力7日的女武神帽讓你威風十足。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030119	武聖神威組合	u,怒氣爆發的關公壺精搭配女武神帽的不滅的冒險者靈魂之力，絕對是練功最佳的組合。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030120	結義友情組合	u,永久的關公壺精以及結義用的友情手鐲，珍藏最珍貴的情義組合。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030121	女武神帽組	u,雙鬢永有潔白羽冠的女武神帽，無論是男性角色或女性角色戴上後，都擁有玉樹臨風的威武氣息，是一款非珍藏不可的頭飾。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030122	經驗值古文強效組合	u,只要使用此道具，狩獵所獲得的經驗值可增加50%。買5送1的超低價組合包，輔助玩家更輕鬆升等。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030123	愛心活力套餐	u,具有活力功能的可愛愛心壺精搭配著可以輔助技能的滿漢全席套餐,絕對是你練功的最好選擇\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030124	A級強化輔助石組	u,武器及防具用的A級強化石組,可幫助你在強化道具時更順利\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030125	S級強化輔助石組	u,武器及防具用的S級強化石組,可幫助你在強化道具時更順利\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030126	薄暮皇室王冠組	u,貴氣逼人的金屬光澤，打造王者風範的王冠頭飾。適合搭配薄暮套裝。\0	BranchSys2.icon.br_royal_crown_of_vesper_i00	a,
1030127	薄暮皇室頭箍組	u,中間鑲有紅寶石的皇室頭箍，讓你擁有傲視群雄的王者姿態。適合搭配薄暮套裝。\0	BranchSys2.icon.br_royal_circlet_of_vesper_i00	a,
1030128	火焰戰鬥組	u,碧紅色如火焰般的徽章印在額頭上，彷彿閃動著如熊熊烈火般的熱血力量。擁有活力飲料及狩獵幫手的輔助，戰鬥更有力。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030129	暴風戰鬥組	u,綠葉及金花交錯所編織成的徽章印在額頭上，彷彿暴風般的迴旋著四周的氣流，產生強大的力量。擁有活力飲料及狩獵幫手的輔助，可使戰鬥更有力。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030130	黑暗戰鬥組	u,擁有一雙蝙蝠的羽翼，像惡魔圖騰印在額頭上，掌控著所有黑暗的力量。擁有活力飲料及狩獵幫手的輔助，可使戰鬥更有力。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030131	活力戰鬥熊熊組	u,可愛的玩偶熊壺精，讓你擁有超元氣的活力，加上經驗值、SP、結晶型古文，讓你戰鬥不費力。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030132	夏夜祝福火花組	u,熱情的仲夏，晚間天空佈滿了繽紛的煙火，更能點綴出燦爛的夜空。擁有輔助技能的煙火，更能守護在夏夜練功的你。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030133	夏夜元氣星光組	u,每天星星的夏夜，是不是會讓人眼睛一亮呢? 每顆充滿活力的星星，在夜空中不斷對你眨眼睛，是不是讓你想要一口氣收藏他們??\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030134	夏夜輕涼西瓜組	u,可愛的西瓜帽，擁有冰涼西瓜的能力，戴上後能讓一整個炎夏瞬間冰凍喔。還有讓你身體輕飄飄的羽毛古文，一起讓你輕鬆度過炎炎夏日。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030135	西瓜帽	u,可愛西瓜造型的帽子，是夏夜最不可缺少的頭飾組合。\0	BranchSys.icon.br_watermelon_cap_a_i00	a,
1030136	戀人未滿組	u,七夕情人節還是單身的曠男怨女們，快點一支脫離單身的祈願燭吧!祈願蠟燭點燃後，捧著一朵朵的鮮花，告白機率將會大幅提升喲!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030137	貼心保護組	u,擁有金牛之力的織女壺精，將賜予超強輔助能力；伴隨著水晶傳來的婚禮之歌，讓你成為最佳貼身保護的完美情人。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030138	笛音傳情組	u,擁有笛音技能的織女壺精，將所有的法力透過笛音發揮最大的輔助功效；伴隨著水晶傳來的愛情之歌，將你的心意傳達給最深愛的戀人。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030139	織女壺精	u,可愛的織女壺精，騎著金牛尋找牛郎的蹤跡。使用聰明伶俐技能時，還會不小心從牛背上摔下、哭泣，模樣十分可愛動人。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030140	黃金勇者組	u,純金打造的骷髏頭飾，搭配擁有塑膠充氣外型的黃色加油棒；可在攻城戰時，做為隊伍的標誌，為自己的隊伍喝采。還有活力飲料可以讓自己保持最佳的備戰狀態。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030141	白銀勇者組	u,白銀打造的骷髏頭飾，搭配擁有塑膠充氣外型的白色加油棒；可在攻城戰時，做為隊伍的標誌，為自己的隊伍喝采。還有活力飲料可以讓自己保持最佳的備戰狀態。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030142	A級強化輔助石組	u,武器及防具用的A級強化石組,可幫助你在強化道具時更順利\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030143	S級強化輔助石組	u,武器及防具用的S級強化石組,可幫助你在強化道具時更順利\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030144	憤怒精靈變裝組	u,萬聖夜＂搞鬼＂變裝派對登場囉！趕快戴上憤怒精靈面具，攜帶賜予活力的蝙蝠群；或是直接變身南瓜怪，保證你會成為萬聖夜最醒目的搞鬼達人！\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030145	X235行星變裝組	u,萬聖夜＂搞鬼＂變裝派對登場囉！趕快戴上X235行星面具，攜帶賜予活力的蝙蝠群；或是直接變身南瓜怪，保證你會成為萬聖夜最醒目的搞鬼達人！\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030146	驚聲尖叫變裝組	u,萬聖夜＂搞鬼＂變裝派對登場囉！趕快戴上驚聲尖叫面具，攜帶賜予活力的蝙蝠群；或是直接變身南瓜怪，保證你會成為萬聖夜最醒目的搞鬼達人！\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030147	不朽骸骨變裝組	u,萬聖夜＂搞鬼＂變裝派對登場囉！趕快戴上不朽骸骨面具，攜帶賜予活力的蝙蝠群；或是直接變身稻草人，保證你會成為萬聖夜最醒目的搞鬼達人！\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030148	科學怪人變裝組	u,萬聖夜＂搞鬼＂變裝派對登場囉！趕快戴上科學怪人面具，攜帶賜予活力的蝙蝠群；或是直接變身稻草人，保證你會成為萬聖夜最醒目的搞鬼達人！\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030149	花仙子精靈壺精組	u,花卉博覽會裡浪漫的花仙子壺精降臨天堂Ⅱ，陪伴大家一起歡度這個百花齊放的季節。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030150	樹精靈派對組	u,花卉博覽會的派對來囉!樹精靈要陪伴大家，讓生活中增添更多的綠意，還準備了各式雞尾酒，邀請大家一起享用。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030151	松柏長青組	u,充滿幸運的四葉草，可以隨機獲得不同天數的活力頭飾。還可使用門松變身魔杖，變成可愛討喜的門松喔!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030152	開花結果幸運組	u,盛大的花卉博覽會已經展開，處處花海及果樹讓整個世界顯得更繽紛熱鬧，果樹女神也將把祝福帶給遊戲內的每個玩家，並給予活力的巧克力餅乾，賜下喜悅的贈禮。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030153	麋鹿的禮物	u,充滿濃郁聖誕氣息的麋鹿項鍊，為這寒冷的季節捎來了十足的活力。五彩繽紛的星星糖，閃爍著元氣之光，點綴星空下，每個擁有他們的亞丁子民。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030154	元氣聖誕奇蹟組	u,除了擁有活力充滿的蛋糕之外，還有一定的機會，讓活力滿滿的麋鹿壺精陪伴著你，渡過元氣聖誕。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030155	聖誕老人的禮物組	u,聖誕老人送禮物來囉!喜悅、趣味、幸運的禮物要分送給大家，試試運氣，看可以獲得什麼樣的聖誕禮物吧。\0	BranchSys.icon.br_xmas_present_i00	a,
1030156	國旗帽組	u,歡慶建國100年，趕快戴上台灣專屬的國旗帽，一起開心跨年。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030157	元旦慶典禮盒	u,在五彩繽紛的煙火下，戴著國旗帽、騎著威風的淡紫鬃馬，一起在元旦慶典中遊行吧!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030158	金喜守護者壺精組	u,歡慶天堂II七週年，就讓可愛的金喜守護者壺精，陪伴你一同練功吧!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030159	圓球斯諾壺精組	u,可愛討喜的圓球斯諾，就讓他陪伴你一同開心練功吧!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030160	高蹺斯諾壺精組	u,踩著高蹺的斯諾壺精，可愛模樣讓你天天有好心情喔!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030161	闇夜祝典斗篷組	u,天堂II七週年慶正式展開，快披上帥氣的闇夜之黑祝典斗篷，搭配粉紅紙製尖帽面具，與好友一同參加天堂II慶生派對吧!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030162	珍珠祝典斗篷組	u,想成為天堂II慶生派對中最閃耀的一顆星嗎?穿上純白帥氣的祝典斗篷-珍珠之白，您將成為最受矚目的焦點!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030163	圓球斯諾派對組	u,圓球斯諾邀請天堂II的子民們，戴著派對尖帽，一同參與天堂II的生日派對\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030164	高蹺斯諾派對組	u,俏皮的高蹺斯諾，準備了繽紛的綠色派對尖帽，邀您一起趴踢趴踢^^\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030165	好運年菜套餐	u,豐富多樣的開運年菜，每道料理中都蘊含了神秘的力量，讓您練功有如神助!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030166	爆竹迎新禮盒	u,爆竹一聲除舊歲，桃符萬戶更新春!過年期間總是少不了的鞭炮組，讓您諸事順心一整年!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030167	歡喜活力財神禮盒	u,新的一年又來到囉!喜氣的財神爺將帶給你滿滿的活力，同時也準備了經驗古文，就是要讓你輕鬆練功，新年贏在起跑點^^\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030168	兔年迎財神禮盒	u,賀新年，祝新年，兔年歡喜迎財神!就讓財神爺常伴身旁，保證一整年好運旺旺來喔!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030169	進階型玫瑰精靈交換券	u,又到了一年一度的情人月，讓外型更加華麗，且有強大輔助功能的進階型玫瑰精靈陪你一起甜蜜練功吧!\0	icon.etc_ticket_red_i00	a,
1030170	濃情巧克力禮盒	u,內含濃情密意的巧克力餅乾以及使用玫瑰精靈特殊技能必備的玫瑰精華組，讓你甜蜜練功，活力滿滿喔!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030171	浪漫婚宴組	u,婚禮壓縮包內含蜜月套票以及大型結婚蛋糕，讓您享有最特別、最浪漫的婚宴。\0	BranchSys2.Icon.br_wedding_box_i00	a,
1030172	情定終生組	u,玫瑰精靈為大家見證最美麗的愛情，帶著婚戒以及最美麗的婚禮花束，向情人訂下終生的承諾吧!\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030173	夢幻婚紗組	u,穿上最美的禮服，戴上幸福的頭紗，今天妳就是最美麗的新娘~\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030174	爆炸頭組	a,	icon.etc_pi_gift_box_i00	a,
1030175	爆炸頭組	a,	icon.etc_pi_gift_box_i00	a,
1030176	粗框眼鏡組	a,	icon.etc_pi_gift_box_i00	a,
1030177	粗框眼鏡組	a,	icon.etc_pi_gift_box_i00	a,
1030178	女武神帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030179	女武神帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030180	古魯丁手工餅乾組	u,內裝5個古魯丁手工餅乾的禮盒。餅乾功能：在60分鐘內提升物理攻擊力10%。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030181	狄恩手工餅乾組	u,內裝5個狄恩手工餅乾的禮盒。餅乾功能：在60分鐘內增加物理防禦力15%。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030182	奇岩精緻餅乾組	u,內裝3個奇岩精緻餅乾的禮盒。餅乾功能：在60分鐘內增加對致命攻擊的物理防禦力30%，但是當目標接受一定量以上的傷害時，將會在8秒內增加近身物理攻擊的致命傷害。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030183	魯因精緻餅乾組	u,內裝3個魯因精緻餅乾的禮盒。餅乾功能：在60分鐘內提升所受的回復術效能85。\0	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030184	魔法眼鏡30日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030185	MP恢復藥水組	a,	MP恢復藥水組	a,
1030186	端午飄香組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030187	粽香團聚組	a,	BranchSys2.icon.br_taiwan_riceball_c_i00	a,
1030188	龍舟帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030189	龍舟帽 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030190	粽子-S級	a,	BranchSys2.icon.br_taiwan_riceball_c_i00	a,
1030191	粽子-A級	a,	BranchSys2.icon.br_taiwan_riceball_b_i00	a,
1030192	粽子-B級	a,	BranchSys2.icon.br_taiwan_riceball_a_i00	a,
1030193	沃夫襯衫組	a,	icon.etc_pi_gift_box_i04	a,
1030194	祝福的沃夫襯衫強化卷軸6張組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	a,
1030195	祝福的沃夫襯衫強化卷軸	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00	a,
1030196	噴射戰車騎乘手鐲組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030197	美味起司帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030198	美味起司帽 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030199	甜蜜起司帽組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030200	甜蜜起司帽 7日/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030201	OX 魔杖 7日/組	a,	icon.etc_pi_gift_box_i02	a,
1030202	剪刀石頭布魔杖 7日/組	a,	icon.etc_pi_gift_box_i02	a,
1030203	織女壺精 24小時/組(金牛之力)	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030204	織女壺精 3日/組(金牛之力)	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030205	織女壺精 24小時/組(笛音)	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030206	織女壺精 3日/組(笛音)	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030207	織女壺精組	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030208	愛心壺精 7日/組	a,	icon.etc_pi_gift_box_i02	a,
1030209	豬豬塔糖	a,	icon.etc_pig_candy_i00	a,
1030210	自由傳送書	a,	BranchSys.icon.br_four_leaf_clover_box_i00	a,
1030211	自由傳送旗	a,	BranchSys.icon.br_flag_of_bookmark_i00	a,
1030212	自由傳送卷軸10張	a,	icon.etc_pi_gift_box_i02	a,
1030213	追加入場券-欲界(深淵之廳)	a,	icon.ticket_i00	a,
