id	cnt	str[0]	str[1]	str[2]	str[3]	str[4]	str[5]	str[6]	str[7]	str[8]	str[9]
231206	2	T20_F	T20_S01								
231207	2	S09_F	S09_S01								
231208	3	F15_F	F16_F	F17_F							
231209	3	F15_F	F16_F	F17_F							
231701	4	F03_F	F03_S01	F04_F	F04_S01						
231702	6	F07_F	F07_S01	T18_F	T18_S01	T19_F	T19_S01				
231801	1	S_Tower									
231802	8	D01_F	D02_F	D03_F	D04_F	D05_F	D06_F	D07_F	S_Tower		
231803	6	B01_F	B01_S01	B02_F	B02_S01	B03_F	B03_S01				
231804	5	T23_F	T23_S01	T16_F	T16_S01	F06_F					
231901	6	F10_F	F10_S01	F11_F	F11_S01	T04_F	T04_S01				
231902	1	Siege_Victory									
232001	1	NT_Hunters									
232003	1	S16_L									
232004	1	S17_L									
232005	1	S16_D									
232006	2	T20_F	T20_S01								
232007	2	S01_F	S01_S01								
232008	2	S11_F	S11_S01								
232009	2	T05_F	T05_S01								
232010	2	T12_F	T12_S01								
232011	4	F14_F	F14_S01	F17_F	F17_S01						
232012	5	D02_S01	B02_F	B04_S01	D07_F	F04_S01					
232101	8	T23_F	T23_S01	F03_F	F03_S01	F04_F	F04_S01	F08_F	F08_S01		
232102	1	CT_DarkElf									
232103	4	D02_S02	D02_S01	D04_S02	F12_F						
232201	1	NS13_F									
232202	3	F13_S01	T15_S01	T10_S01							
232203	5	F04_S01	T25_S01	B02_S02	D02_S01	D04_F					
232301	8	F02_F	F02_S01	F05_F	F05_S01	F08_F	F08_S01	F14_F	F14_S01		
232302	4	B02_S01	F06_F	D05_S02	F08_S01						
232401	2	T06_F	T06_S01								
232402	2	T20_F	T20_S01								
232403	2	T22_F	T22_S01								
232404	2	T12_F	T12_S01								
232405	2	S04_F	S04_S01								
232406	2	S11_F	S11_S01								
232407	2	T21_F	T21_S01								
232408	2	S01_F	S01_S01								
232409	1	NT_Heiness									
232410	2	T07_F	T07_S01								
232411	2	T21_F	T21_S01								
232412	3	T14_S01	T11_F	T11_S01							
232501	1	NS13_F									
241201	3	D05_F	D05_S01	D05_S02							
241701	6	D02_F	D04_F	D05_F	F06_F	T23_F	S_Pirate				
241801	1	NT_Aden									
241802	2	S01_F	S01_S01								
241803	2	S10_F	S10_S01								
241804	2	S09_F	S09_S01								
241805	2	S02_F	S02_S01								
241806	2	S05_F	S05_S01								
241807	2	T08_F	T08_S01								
241808	2	S04_F	S04_S01								
241809	2	T20_F	T20_S01								
241810	2	T22_F	T22_S01								
241811	1	NS13_F									
241812	2	S11_F	S11_S01								
241813	3	F17_F	F17_S01	T14_S01							
241901	4	B01_S01	B02_S01	B03_S01	B04_S01						
241902	6	F09_F	F09_S01	S03_F	S03_S01	F11_F	F11_S01				
242001	10	F02_F	F02_S01	F04_F	F04_S01	F07_F	F07_S01	F09_F	F09_S01	F10_F	F10_S01
242002	4	B02_F	D02_S01	D07_S02	D03_S01						
242101	7	D01_F	D02_F	D03_F	D04_F	D05_F	D06_F	D07_F			
251201	3	D04_F	D04_S01	D04_S02							
251701	1	NT_Oren									
251702	4	CT_Orc	F13_S01	T17_F	T17_S01						
251703	4	D02_F	D07_F	F08_S01	B02_F						
251704	3	B02_F	B03_S02	D02_S01							
251801	7	F02_F	T23_F	T14_F	T05_F	F04_F	F05_F	S12_F			
251802	1	S_Tower									
251901	6	D02_F	D04_F	D05_F	D02_S01	D04_S01	D05_S01				
251902	1	S_Tower									
251903	4	F01_F	F01_S01	T23_F	T23_S01						
252001	2	S01_F	S12_F								
252101	10	D06_F	D06_S01	D06_S02	D07_F	D07_S01	D07_S02	B03_F	B03_S01	B02_F	B02_S01
171001	7	ND11_F	SF08_F	SF05_F	NS17_F	NS19_F	SF03_F	ND09_F			
191701	7	B05_F	B05_S02	B06_F	B06_S01	B06_S02	B07_F	B07_S01			
161201	5	D02_F	D07_F	F08_S01	B02_F	D02_S01					
211501	3	F07_F	F07_S01	S25_F							
221501	3	S27_F	S26_F	S26_S01							
221601	4	F03_F	F03_S01	F05_F	F05_S01						
231601	8	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F12_F	F12_S01		
241401	2	S23_F	S23_S01								
241402	4	T14_F	T14_S01	F13_F	F13_S01						
241403	4	T14_F	T14_S01	F13_F	F13_S01						
241501	4	T23_F	T23_S01	S21_F	F08_S01						
251401	7	D01_F	S24_F	S24_S01	D04_F	D05_F	D06_F	D07_F			
251501	5	B03_F	D05_F	T23_F	D06_S01	B01_F					
251502	4	D05_F	T23_F	S22_F	S22_S01						
251601	7	T17_F	T17_S01	F12_F	F12_S01	F13_F	F14_F	F14_S01			
261401	10	D06_F	D06_S01	D06_S02	D07_F	D07_S01	D07_S02	B03_F	B03_S01	B02_F	B02_S01
241602	2	T22_F	T22_S01								
241604	2	T05_F	T05_S01								
241605	2	S11_F	S11_S01								
241606	2	S01_F	S01_S01								
241607	2	S10_F	S10_S01								
241608	1	S17_L									
241609	2	T20_F	T20_S01								
241610	1	S16_L									
241611	1	S16_D									
211601	2	S13_F	S13_S01								
241601	1	NS13_F									
241603	1	T10_F									
211602	5	F13_S01	F17_F	F17_S01	T10_F	T10_S01					
211603	1	T14_S01									
211604	2	T05_F	T05_S01								
211605	2	S11_F	S11_S01								
211606	2	T22_F	T22_S01								
251503	5	B07_S01	B07_F	B06_S02	B06_S01	B06_F					
191601	3	NS03_F	NS05_F	ND05_F							
201601	1	NS13_F									
201602	3	F17_S01	F17_F	T11_S01							
211502	3	T14_F	T15_F	T16_F							
221602	2	D07_F	NS11_F								
231301	3	F03_F	NS10_F	F06_F							
231501	3	D02_F	NS08_F	D04_F							
251504	1	NS15_F									
211701	1	NS14_F									
221401	6	D02_F	D04_F	D05_F	D02_S01	D04_S01	D05_S01				
221402	4	T23_F	T23_S01	T05_F	T05_S01						
221403	2	T15_F	T15_S01								
231401	7	B05_F	B05_S02	B06_F	B06_S01	B06_S02	B07_F	B07_S01			
231402	2	S21_F	NS06_F								
231403	3	B05_F	B05_S02	B05_S01							
231404	3	B01_F	B01_S01	B01_S02							
211401	1	NS07_F									
211402	4	T23_F	T23_S01	T05_F	T05_S01						
211403	3	D04_F	D04_S01	D04_S02							
221301	1	S16_D									
221302	1	S16_L									
221303	2	T20_F	T20_S01								
221304	1	S17_L									
221305	2	T05_F	T05_S01								
221306	2	S10_F	S10_S01								
221307	2	T22_F	T22_S01								
221308	2	S11_F	S11_S01								
221309	2	S01_F	S01_S01								
221310	1	NS13_F									
221311	1	T10_F									
241404	1	NS09_F									
181001	5	F14_F	D05_F	D07_S02	B03_F	D02_S01					
191001	4	B01_F	D02_S02	D04_S01	D07_F						
201001	5	D02_S01	B02_F	B04_S01	D07_F	F04_S01					
182004	6	F02_F	F03_F	F04_F	F04_S01	F08_F	F08_S01				
182202	8	F14_F	F14_S01	F15_F	F15_S01	F12_F	F12_S01	F05_F	F05_S01		
192402	6	F16_F	F16_S01	F15_F	F15_S01	F14_F	F14_S01				
202002	6	F09_F	F09_S01	F10_F	F10_S01	F04_F	F04_S01				
202210	6	F13_F	F13_S01	F14_F	F14_S01	F08_F	F08_S01				
202306	6	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01				
212203	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01		
221502	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01		
221603	8	F08_F	F08_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
221808	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01		
222003	8	F02_F	F02_S01	F03_F	F03_S01	F08_F	F08_S01	F06_F	F06_S01		
222302	8	F01_F	F01_S01	F03_F	F03_S01	F06_F	F06_S01	F08_F	F08_S01		
231302	8	F02_F	F02_S01	F03_F	F03_S01	F06_F	F06_S01	F08_F	F08_S01		
231703	8	F01_F	F01_S01	F03_F	F03_S01	F04_F	F04_S01	F08_F	F08_S01		
232013	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01
232104	8	F06_F	F06_S01	F03_F	F03_S01	F08_F	F08_S01	F05_F	F05_S01		
232413	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
241502	8	F01_F	F01_S01	F03_F	F03_S01	F06_F	F06_S01	F08_F	F08_S01		
241903	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
251904	8	F02_F	F02_S01	F03_F	F03_S01	F06_F	F06_S01	F05_F	F05_S01		
231602	8	F02_F	F02_S01	F03_F	F03_S01	F06_F	F06_S01	F05_F	F05_S01		
201701	2	D04_S01	B02_S01								
201702	2	F02_S01	S25_F								
201703	1	T05_S01									
201704	1										
201705	1										
161901	1	CT_Kamael									
161902	1	CT_Kamael									
161903	1	NT_Kamael									
161904	1	NT01_F									
161905	1	S16_D									
161906	1	S17_L									
161907	1	T04_F									
161908	2	T20_F	T20_S01								
161909	4	T05_F	T05_S01	S01_F	S01_S01						
161910	1	CT_Elf									
161911	2	S10_F	S10_S01								
161912	2	T15_F	T15_S01								
161913	1	D02_S01									
161914	2	F02_F	F02_S01								
162001	5	D05_F	NS05_F	NS08_F	ND04_F	ND05_F					
162002	5	D02_S01	B02_F	B04_S01	D07_F	F04_S01					
162003	4	F01_S01	F02_F	F02_S01	F04_S01						
162004	1	T16_F									
171901	6	F06_F	ND01_F	F04_F	ND07_F	ND02_F	F08_F				
171903	4	F01_S01	F02_F	F02_S01	F04_S01						
171904	1	T16_F									
171905	1	D02_S01									
171906	3	T23_F	F01_F	F03_F							
181601	1	S_Theme									
192502	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01
192503	7	D07_S01	F01_F	F15_F	D05_F	D02_S01	F08_S01	NF03_F			
192504	4	F01_F	F01_S01	F02_F	F08_F						
192505	3	D05_F	D05_S01	D05_S02							
192601	8	B07_F	B03_S01	B07_F	B05_S01	B03_F	ND03_F	B06_S01	NS12_S01		
192602	4	NS03_F	NS17_F	NB01_F	ND03_F						
192603	4	B07_F	B06_S01	D06_F	ND03_F						
192605	6	D06_F	D04_F	D02_F	D04_S01	D06_S01	NS18_F				
202501	7	D02_S01	F01_S01	F02_F	S25_F	F03_S01	F04_S01	F06_F			
202502	4	F01_S01	F02_F	F02_S01	NF03_F						
202503	6	F01_S01	F02_F	NF05_F	F02_S01	NF01_F	T23_F				
202504	6	B05_S01	B06_S01	F06_F	B02_S01	F06_S01	B01_S01				
202601	7	NS15_F	ND06_F	ND04_F	ND07_F	B07_F	B03_S01	B05_S01			
202602	4	B07_F	B07_S01	B03_S01	B05_S01						
242201	5	NB01_F	NS03_F	B06_F	NB02_F	NS17_F					
242202	6	D01_F	D01_S01	D02_F	D02_S01	D04_S01	D05_S01				
242203	1	br_music_hero									
242204	1	S_Crystal									
242205	6	S22_F	S22_S01	T23_F	T23_S01	F08_F	S08_F				
242206	2	NS15_F	NS17_F								
242207	1	NF05_F									
242208	4	F05_F	F05_S01	F14_F	F14_S01						
242209	4	F05_F	F05_S01	F14_F	F14_S01						
242301	4	D07_F	F04_S01	D07_S01	D07_S02						
242302	1	S_Crystal									
242303	1	NF02_S01									
242304	5	S25_F	F01_S01	F05_S01	S25_S01	F11_S01					
171601	7	B01_F	B05_S01	B06_S01	D02_F	D04_S01	NS18_S01	NS19_S01			
171602	1	NS23_F									
171603	5	F01_F	NF01_F	NF02_S01	F11_F	F11_S01					
171604	5	S22_F	S22_S01	T23_F	T23_S01	S08_S01					
181501	1	NS24_F									
202401	5	B05_F	B07_F	B08_F	B05_S01	NS17_F					
202402	4	S22_F	T23_F	S08_F	D05_F						
202403	3	ND07_F	D04_F	D07_F							
202505	3	S22_F	T16_F	T16_S01							
202506	5	B05_F	B08_F	B08_S01	B08_S02	NB01_F					
212502	5	B02_S01	B03_S01	NS18_S01	NS19_S01	D03_S01					
171501	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
171502	4	F10_F	F10_S01	F11_S01	NF01_F						
171503	1	D05_S01									
182501	9	ND04_F	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F	
182502	4	ND03_F	B08_F	B02_F	B02_S01						
171101	7	B01_F	ND03_F	B05_S01	B06_S01	B07_F	B08_S01	B03_S01			
171102	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
171103	7	ND03_F	B01_F	ND04_F	NS03_F	NS15_F	B02_F	B02_S01			
171104	7	B05_S01	B08_S01	NB01_F	B01_F	NS18_S01	B05_F	D04_S01			
171105	7	B01_F	ND04_F	NS03_F	NS15_F	B02_F	ND03_F	B02_S01			
171106	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
171107	7	ND03_F	ND04_F	NS03_F	B01_F	NS15_F	B02_S01	B02_F			
171108	7	B05_S01	B06_S01	B07_F	B01_F	ND03_F	B08_S01	B03_S01			
171109	7	B01_F	NS18_S01	D04_S01	B08_S01	B05_F	B05_S01	NB01_F			
181101	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
181102	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
181103	7	B01_F	ND03_F	B05_S01	B06_S01	B07_F	B08_S01	B03_S01			
181104	7	B01_F	ND04_F	NS03_F	NS15_F	B02_F	ND03_F	B02_S01			
181105	7	ND03_F	B01_F	ND04_F	NS03_F	NS15_F	B02_F	B02_S01			
181106	7	B05_S01	B06_S01	B07_F	B01_F	ND03_F	B08_S01	B03_S01			
181107	7	B01_F	ND03_F	B05_S01	B06_S01	B07_F	B08_S01	B03_S01			
181108	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
181109	7	ND03_F	B01_F	ND04_F	NS03_F	NS15_F	B02_F	B02_S01			
191101	7	ND03_F	B01_F	ND04_F	NS03_F	NS15_F	B02_F	B02_S01			
201101	7	B05_S01	B06_S01	B07_F	B01_F	ND03_F	B08_S01	B03_S01			
201102	7	B01_F	ND04_F	NS03_F	NS15_F	B02_F	ND03_F	B02_S01			
201103	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
201104	7	B01_F	ND03_F	B05_S01	B06_S01	B07_F	B08_S01	B03_S01			
201105	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
201106	7	B05_S01	B06_S01	B07_F	B01_F	ND03_F	B08_S01	B03_S01			
201107	7	ND04_F	ND03_F	NS03_F	NS15_F	B02_F	B01_F	B02_S01			
201108	7	B05_F	B05_S01	NB01_F	B01_F	NS18_S01	D04_S01	B08_S01			
201109	7	ND03_F	ND04_F	NS03_F	B01_F	NS15_F	B02_S01	B02_F			
211101	8	B05_F	B05_S01	NB01_F	B01_F	B08_F	NS18_S01	D04_S01	B08_S01		
211102	8	ND03_F	B01_F	B01_S01	ND05_F	NS03_F	NS15_F	B02_F	B02_S01		
171701	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
171201	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
171202	6	ND03_F	B01_F	B02_S01	B03_S01	B06_S01	B08_S01				
181201	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
181202	6	ND03_F	B01_F	B02_S01	B03_S01	B06_S01	B08_S01				
191201	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
191202	6	ND03_F	B01_F	B02_S01	B03_S01	B06_S01	B08_S01				
201201	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
201202	6	ND03_F	B01_F	B02_S01	B03_S01	B06_S01	B08_S01				
181502	2	D02_F	D04_F								
181503	7	NS18_S01	B06_S01	B07_S01	ND11_F	NB02_F	NS25_S01	NS14_F			
152501	7	ND17_F	ND18_F	ND16_F	D05_S01	B03_S02	D07_S02	F01_F			
152502	1	GS06_F									
142501	4	GS08_F	GS08_Win	GS09_F	GS09_Win						
142502	1	NT_Gracia									
142503	3	SF01_F	SF02_F	SF03_SC1							
132501	5	SF05_F	SF08_F	SF02_F	SF01_F	SF06_F					
132502	4	GS07_F	GS07_Per	GS09_F	GS06_SC1						
142401	5	ND15_F	S22_F	S21_S01	ND14_F	ND15_S01					
142402	5	ND14_F	S24_F	T23_F	ND13_F	ND12_S01					
142403	5	ND12_F	ND13_F	NB07_SC1	NB06_SC1	T05_F					
142404	5	NB07_F	NB08_F	NB04_SC2	NB03_SC1	NB06_SC2					
142405	4	GS04_F	GS05_F	GS02_Win	GS03_Win						
142406	4	SF02_F	SF04_F	SF03_SC1	SF08_Per						
142407	4	SF03_F	SF01_F	SF02_SC1	SF04_F						
132401	5	GS05_F	GS01_F	GS03_Win	GS03_Solo	GS05_Per					
122501	4	GS04_F	GS01_Orc	GS01_Win	GS02_Win						
122502	4	SF02_F	SF07_SC1	GS04_SC1	SF03_F						
122503	2	S22_F	S24_F								
122401	5	GS05_F	GS04_F	GS03_Win	GS03_Solo	GS02_Per					
122403	4	ND09_F	ND10_S01	ND09_S01	ND13_S01						
122404	3	ND08_S01	T23_F	ND14_F							
122405	5	ND08_F	ND09_F	ND12_S01	ND13_S01	NB10_SC2					
122406	4	ND14_F	ND15_S01	ND11_S01	ND13_S01						
122407	4	ND11_F	NB07_SC2	NB10_SC1	NB04_SC2						
122408	6	ND10_F	NB10_SC2	NB07_SC3	S24_F	S22_F	ND13_F				
122409	5	NB03_F	NB05_F	NB06_F	NB08_SC3	NB07_SC2					
142504	4	GS05_Per	GS07_Per	GS08_Per	GS09_Win						
132503	4	GS07_F	GS07_Per	GS08_Per	GS02_Per						
152503	2	GS06_SC1	GS02_Win								
161101	6	D02_F	D04_F	D05_F	D02_S01	D04_S01	D05_S01				
161102	4	ND13_F	ND14_S01	ND15_S01	ND12_S01						
161103	5	ND05_F	ND09_F	ND12_S01	ND13_S01	NB10_SC2					
161104	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
161301	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
161302	9	ND04_F	D02_F	D02_S01	D02_S02	D05_S01	D06_F	D06_S01	D07_S01	D08_F	
161303	6	ND10_F	NB10_SC2	NB07_SC3	S24_F	S22_F	ND13_F				
172401	10	D06_F	D06_S01	D06_S02	D07_F	D07_S01	D07_S02	B03_F	B03_S01	B02_F	B02_S01
172402	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
132301	6	F16_F	B02_S01	B04_S01	D02_S01	D03_S01	ND13_S01				
132402	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
132303	7	D02_S01	D03_S01	D04_F	D04_S01	D05_S01	ND02_F	ND04_F			
132404	7	B01_F	ND04_F	NS03_F	NS15_F	B02_F	ND03_F	B02_S01			
132305	6	GS01_Win	GS02_Per	GS03_Solo	GS05_F	GS02_F	GS03_F				
