id	int1	int2	enable_?	tip[0]	tip[1]
20	1	0	1	u,覺醒的角色要學習新技能時，覺醒之前所學的部分技能會消失。\0	a,
21	3	0	1	u,寵物死後24小時內沒有復活時，屍體會因腐爛而從新天堂II的世界中完全消失。\0	a,
22	3	0	1	u,向村莊裡的「謎樣的染料商人」購買染料時，可依照機率獲得巨人的﹑古代的﹑傳說的新染料。\\n此染料只有覺醒角色可使用。\0	a,
23	3	0	1	u,要刪除帳號內的角色時，必須等待七天後才會完全消失。\0	a,
24	3	0	1	u,釣魚系統分為夜釣及一般釣魚，夜釣時間為遊戲時間的00:00～06:00。\\n釣魚時可獲得飾品材料，而夜釣可釣到上級魚類，但是必須使用夜光魚餌。\0	a,
25	3	0	1	u,從視窗模式的狀態下按Alt+Enter鍵，即可轉換成全螢幕模式，也可從全螢幕模式下按Alt+Enter鍵來轉換成視窗模式。\0	a,
26	3	102	1	u,擁有貴族職位的角色，可利用「/戰績排行」指令來查看自己或是其他角色在奧林匹亞的戰積及點數。\0	a,
27	2	0	1	u,使用「/血盟懲罰」指令，可確認退出﹑驅逐﹑除名﹑解散血盟時受到的懲罰。\0	a,
28	4	101	1	u,可利用遊戲內佈告欄功能中的「加入書籤」功能，將頁面新增到書籤中。\0	a,
29	4	101	1	u,可利用遊戲內佈告欄功能中的「備註」功能，儲存必要的備註內容。\0	a,
30	4	101	1	u,可利用「/郵件信箱」指令將信件傳送給已經離線的角色。\0	a,
31	4	101	0	u,可利用遊戲內佈告欄功能中的「好友管理」功能來編輯好友目錄， \\n也可發信給好友。\0	a,
32	4	101	1	u,調整環境設定中的「拍照品質」項目，即可調整儲存在新天堂II SYSTEM資料夾\\n之下的jpg圖片的解析度及檔案大小。\0	a,
33	2	101	1	u,在遊戲中開啟對方的目標視窗後，點擊對象為怪物時，可查看屬性及其他情報，點擊對象為角色時，可查看血盟及同盟的情報。\0	a,
34	2	101	1	u,在遊戲內的巨集編輯功能中，輸入「%target」即可自動輸入目標名稱，輸入「%party1~6」即可自動輸入隊員名稱。\0	a,
35	4	101	1	u,技能視窗中，分類為「物理」的技能會受到攻擊速度的影響，分類為「魔法」的技能則會受到施法速度的影響。\0	a,
36	3	101	1	u,進行可顯示位置的任務時，可開啟地圖後按下「目標位置」來確認目標的位置。\0	a,
37	4	102	1	u,請在遊戲內嚐試一下釣魚吧。可以獲得飾品及消耗性道具的製作材料喔。\0	a,
38	4	102	1	u,釣魚王選拔大賽的活動期間內，可使用漁靈餌來提升釣大魚的機率。\0	a,
39	2	102	1	u,使用捕魚證獲得的技能，無法分享於主副職業間使用。\0	a,
40	3	0	1	u,申請血盟解散時，會失去死亡一次的經驗值，並且進入七天的等待時間。\\n即使取消血盟解散也無法恢復失去的經驗值，若血盟已經完全解散，即可馬上加入其他血盟。\0	a,L2Font-tw.Loading_system_0140_001\0
41	4	0	1	u,宣佈血盟戰時，血盟成員必須有十五人以上，血盟等級也必須為三級以上。\0	a,L2Font-tw.Loading_system_0140_001\0
42	1	101	1	u,在村莊內使用查詢動作或是使用「/商店查詢」指命，即可簡單的找到需要的道具。\0	a,
43	3	102	0	u,狩獵巴溫﹑安塔瑞斯般的首領時，結束連線的時間超過十分鐘時，角色會被強制移動到附近的村莊。\0	a,
44	3	102	1	u,利用指揮頻道進行狩獵時，指揮頻道中的隊伍可享有五分鐘的優先分配權。\0	a,
45	3	102	1	u,可在猛獸放牧場中可取得擁有治癒﹑回復﹑魔法能力的寵物。\\n馴化的寵物會在狩獵時給予幫助。\0	a,
46	3	0	1	u,賦予角色稱號時，可使用全形的特殊文字。\\n在Windows7/Vista作業系統底下無法使用特殊文字。\0	a,
47	2	0	1	u,移動數量型道具時，按住Alt鍵拖曳，即可一次移動全部的數量型道具。\0	a,
48	2	0	1	u,在英魂之墓中受取古代巨人之力，即可覺醒。覺醒之前強化的技能將全部初始化，\\n並依照技能強化的階段，收到退回的部分SP及「下巨人的精髓」。\0	a,
49	2	0	1	u,尋找財富的鐵匠便可以進行最高至A級最上級武器的同級別武器交換，但是不能交換闇天使專用武器及二刀流武器。\0	a,L2Font-tw.Loading_system_4184_002\0
50	3	102	0	u,艾羅牧師職業的復活技能可隨著技能等級的提升，最高可復原100%的經驗值。\0	a,
51	3	0	1	u,CON影響著肉體異常狀態的耐性，MEN則影響著精神異常狀態的耐性。\0	a,
52	3	0	1	u,紋章在二轉之前可使用一般染料，覺醒之前可用高級染料。\\n覺醒後必須使用新增的染料。\0	a,
53	2	0	1	u,進入村莊或有嚴重延遲現象的地區時，可使用Alt+P鍵切換成效果最小化模式。\0	a,
54	4	0	1	u,隊伍的成員等級差異超過15級以上時，低等級的角色將無法取得經驗值。\0	a,
55	3	102	1	u,參加新增的每日副本，可獲得R級一般搜魂石。將道具結晶化時，可獲得換取R級特殊搜魂石的碎片。\0	a,
56	2	0	1	u,去英魂之墓拉姆附近找巨人的手下「拉比多夫」，可用技能強化的報酬「下巨人的精髓」\\n交換有四個種類的「刻印祕傳書」。\0	a,L2Font-tw.Loading_system_4184_002\0
57	4	0	1	u,長時間在同一個地方釣魚時，魚兒上鉤的機率可能會降低。\0	a,
58	3	101	1	u,想要一次販賣多種道具時，可使用「成套販售」。\0	a,
59	4	101	1	u,道具清單的數量超過90%或是重量超過80%以上時，將無法正常執行任務，\\n請將數量降到90%以下﹑重量80%以下之後再找NPC對話。\0	a,
60	3	102	1	u,進行奧林匹亞競賽時，透過血盟獲得的技能將不會被套用。\0	a,L2Font-tw.Loading_system_4184_004\0
61	4	101	1	u,按下Home鍵，則可自動變換到角色的視角。\0	a,
62	3	101	1	u,不小心隔絕了好友時，可使用「/解除隔絕 角色名稱」指令，\\n來解除隔絕並快樂的聊天。\0	a,
63	3	101	1	u,使用「/全部隔絕」指令就不會被任何人打擾了。\\n想恢復正常狀態時，可使用「/解除全部隔絕」。\0	a,
64	3	0	1	u,覺醒後可使用紋章增加的各狀態的最大值為15。超過最大值的數值將不會被套用，\\n減少的數值則沒有限制。\0	a,
65	2	101	1	u,使用「/目標」指令可簡單的找到周圍的角色及NPC，\\n名稱內有空格的NPC名稱必須照樣輸入空格。\0	a,
66	4	0	1	u,覺醒的角色可獲得專用乘坐物。此乘坐物可使用技能視窗（Alt+K）中的專用乘坐技能來騎乘。\0	a,
67	2	0	1	u,雙擊R級以上的未確認道具或點擊滑鼠右鍵，可依照機率獲得「祝福的」道具。\0	a,L2Font-tw.Loading_system_4184_002\0
68	4	101	1	u,可雙擊製作卷軸將卷軸登錄到卷軸書中，\\n矮人可使用技能視窗中的「矮人工藝」技能來製作道具。\0	a,L2Font-tw.Loading_system_4184_002\0
69	3	102	0	u,巴拉卡斯所居住的地區無法重啟遊戲，\\n因此若在巴拉卡斯居住地區重啟遊戲時，將會移動到鄰近的高達特城鎮。\0	a,
70	2	0	1	u,強化道具時，除了上下連身型的盔甲之外，皆可安全的強化到+3。\\n強化到+4開始會有1/3的機率結晶化。\0	a,L2Font-tw.Loading_system_4184_002\0
71	4	0	1	u,道具強化失敗時，可獲得一定程度的結晶體，而能夠取得的結晶體數量為該道具的基本價值的一半。\0	a,L2Font-tw.Loading_system_4184_002\0
72	4	101	1	u,技能中有可以「OverHit」的技能與魔法。使用這樣的技能及魔法給予狩獵怪物最後一擊時，\\n將可得到額外的經驗值。\0	a,
73	2	0	1	u,製作血盟紋章時，製作一個大小為16 X 12 （pixel）﹑256色的BMP檔案，並放置在新天堂II資料夾下的System資料夾內，\\n進入遊戲後，透過血盟動作的紋章管理即可進行登錄。\0	a,
74	3	0	1	u,同盟紋章的檔案格式為8 X 12（pixel）﹑256色的BMP檔，並將檔案放置於天堂II資料夾下的System資料夾內，\\n進入遊戲後，透過「/登錄同盟紋章」指令進行登錄。\0	a,
75	2	0	1	u,遊戲角色代表著另一個自我。為了維持良好的遊戲文化，請不要使用出口傷人的用詞對談喔。\0	a,
76	3	0	1	u,若發現疑似自動狩獵的角色，請記下角色名稱並進行訴求。\\n或是使用Alt+C動作選單進行自動狩獵申報。您的一份力量，可幫助維持乾淨的新天堂II世界。\0	a,
77	1	0	1	u,交易道具時，請務必再一次確認交易對象的名稱及交易的道具名稱。\0	a,
78	2	0	1	u,長時間進行遊戲會造成健康的負擔。遊戲時請不要忘記進行充分的休息。\0	a,
79	2	0	1	u,在新天堂II遊戲中使用「/訴求」指令，即可獲得GM的服務。\\n訴求的服務時間為16:00到隔天的00:00。\0	a,
80	1	0	1	u,利用個人商店及個人工房時，請務必再次確認販售的道具及價格。\0	a,
81	2	0	1	u,在遊戲內碰到無法移動或是卡住的地方時，可使用「/脫逃」指令讓角色移動到附近。\\n如果使用「/脫逃」指令也無法脫離該地方，請使用「/訴求」來得到GM的協助。\0	a,
82	4	0	1	u,為了保護顧客的帳號情報，請定期的變更密碼。\\n若是在網咖或是共用電腦中進行遊戲，也請多多注意密碼的管理。\0	a,
83	3	0	1	u,進行遊戲途中若突然遇到斷線，請記下出現的錯誤訊息，並進入官方網站的客服中心，使用E-BOX回覆系統進行申訴。\\n提供越正確的資訊將可以得到越詳細的解答。\0	a,
84	3	0	1	u,關於付費及其他關於帳號的諮詢，也可透過官方網站的E-BOX回覆系統或是撥打客服專線(02) 6620-0666進行詢問。\0	a,
85	4	0	1	u,在村莊出現「凍結的狀態」訊息並且無法移動時，\\n可使用ESC鍵解除目標或是選擇其他目標來進行移動。\0	a,
86	2	0	1	u,將R級以上的道具結晶化時，除了結晶體之外，還可獲得多種其他道具。\0	a,L2Font-tw.Loading_system_4184_002\0
87	3	101	1	u,地上若有太多道具掉落，周圍的角色反應會變慢。\\n請盡可能的盡快拾取狩獵時掉落的道具，或是透過環境設定->遊戲選項->掉落道具隱藏來讓遊戲更加順暢。\0	a,L2Font-tw.Loading_system_4184_002\0
88	2	0	1	u,到達可以學習新技能的等級時，可以直接從技能視窗中的「學習技能」頁面學習新技能。\0	a,
89	2	0	1	u,若已經進行過個人定額付費，遊戲中將會以系統訊息提醒剩餘的使用時間。\0	a,
90	3	0	1	u,所謂的帳號盜用是指任意使用他人帳號，並毀損他人帳號資訊的事情。\\n若因遭受帳號盜用而發生損失，請至天堂II官方網站→客服中心→帳號服務專區→盜用處理服務\\n進行申訴。\0	a,
91	3	0	1	u,帳號盜用申訴被受理後，請務必在七日內完成本人身分確認的流程。\\n本人身分確認流程可透過雙證件影本方式進行申請。\0	a,
92	3	0	1	u,隊伍型任務必須是隊伍的狀態下才可執行的任務，即使本人沒有直接進行狩獵，\\n只要與隊員保持一定的距離，皆可獲得任務道具。\0	a,
93	3	0	1	u,帳號盜用主要因網咖般的公共場所的電腦被有心人士置入非法程式而被側錄帳號資料，\\n或是把帳號分享給友人而發生盜用的情形居多。請在公共場所或是帳號分享時格外留意資料外流。\0	a,
94	3	102	0	u,申請血盟解散時，申請解散的盟主角色\\n會受到死亡一次的經驗值掉落懲罰，敬請注意。\0	a,L2Font-tw.Loading_system_0140_001\0
95	1	0	1	u,針對黑暗城堡血盟成員進行PK時，也不會讓角色成為邪惡狀態。\0	a,
96	1	0	1	u,點擊熱鍵視窗上方的熱鍵擴充按鈕時，可橫豎擴充四個\\n熱鍵視窗，四個熱鍵視窗可一次確認48個動作。\0	a,
97	3	0	1	u,無法裝備未確認的道具。請雙擊該道具的圖式或是點擊滑鼠右鍵來確認道具。\0	a,L2Font-tw.Loading_system_4184_002\0
98	1	0	1	u,可從隊伍配對準備室確認希望配對的等待者清單，並且從清單中邀請隊員。\\n在隊伍配對房內，即使不是隊長，隊員也可以瀏覽配對等待者清單，並邀請對方進入隊伍房間。\0	a,
99	4	0	1	u,即使在不會掉落藥草的地區，也可使用「自體變化」技能來取得特定的藥草。\0	a,L2Font-tw.Loading_system_4184_002\0
100	4	102	0	u,想要進入邪教神殿，必須先完成「門扉後的真實」或「再次往那門扉之後」任務。\0	a,
101	4	102	0	u,「亡者的森林」的白天與夜晚出沒的怪物不同。\0	a,
102	4	102	0	u,6人以上的隊伍在邪教神殿內進行戰鬥時，\\n隊友有一定的機率會被傳送到其他地方。\0	a,
103	4	102	0	u,即使沒有完成冰雪女王之城的相關任務，也可以拿著10個「銀血」進入該地區。\0	a,
104	4	102	0	u,要組成隊伍進入冰雪女王之城時，所有隊員都必須擁有10個「銀血」。\0	a,
105	4	0	1	u,將環境設定中的「遊戲」分頁裡的「掉落道具隱藏」勾選起來時，\\n即可隱藏掉落道具的顯示來減少延遲現象。\0	a,
106	3	0	1	u,角色進入新天堂II的世界時，即會馬上被列為「隊伍自動搜尋」的等待者。若接受自動隊伍的邀請，將會移動至隊員所在之處。\0	a,
107	4	0	1	u,受詛咒的武器掉落在世界或是擁有受詛咒的武器的角色是在線狀態時，只要點擊迷你地圖下方的位置標示按鈕，\\n即可確認受詛咒的武器在哪個地區。\0	a,L2Font-tw.Loading_system_4184_002\0
108	4	0	1	u,畫面右上方標示在羅盤上的「異常狀態地區」除了壞屬性之外也有好的屬性。\\n也就是說，異常狀態地區並不是只有壞屬性的影響，也會有好屬性的影響。\0	a,
109	4	0	1	u,將環境設定中的「視點與移動方向同步」開啟時，每當角色移動時視點會自然的移動到角色的前方。\0	a,
110	4	102	1	u,將環境設定中的「效能提升GPU運算」開啟時，在遊戲內登場的角色動畫將會被GPU處理。\\n進入像村莊般有很多角色聚集的地方時，可開啟此功能來減少延遲現象。\0	a,
111	4	102	1	u,想要創立血盟學院嗎？請盟主去尋找負責血盟相關工作的NPC吧（大神官﹑宗師﹑大團長等）。\\n透過負責血盟相關工作的NPC可創立血盟學院喔。\0	a,
112	3	101	0	u,加入血盟學院的角色完成三轉時，將可獲得紀念道具。\\n此紀念道具可在三轉完成後馬上獲得。\0	a,
113	4	102	1	u,加入血盟學院後，即可獲得學院等級，此等級除非退出或畢業，否則無法改變。\\n學院等級關係到開啟血盟倉庫﹑根據地﹑城﹑要塞的出入及功能使用的權限。\0	a,
114	4	101	1	u,從血盟學院畢業後，將會自動從所屬學院中退出，\\n但是重新加入該血盟的正式血盟中，也不會受到重新加入的懲罰。\0	a,
115	4	102	1	u,血盟介面視窗的學院所屬成員中，有監護人的角色名稱會以黃色字體\\n標示在血盟視窗中，沒有監護人的角色則以白色字體顯示。\0	a,
116	4	102	1	u,擁有管理權限的血盟成員，可指定非監護人的成員成為學院所屬成員的監護人。\\n學院所屬成員及監護人只能是一對一的關係。\0	a,
117	4	0	1	u,為了讓學院的學員及他的監護人可以知道對方的連線狀態，進入遊戲或退出遊戲時將會出現通知訊息。\0	a,
118	3	102	0	u,加入血盟學院的等級已放寬到74級，完成三轉時將可從血盟學院中畢業。\0	a,
119	4	101	0	u,獲得盟誓的防具套組後退出學院時，將會自動解除裝備。\\n但是重新加入了學院或畢業，即可重新裝備。\0	a,
120	3	102	1	u,血盟等級到達6級時可創立親衛隊，創立親衛隊時必須指定一位血盟成員成為管理者。\\n一組親衛隊最多可由20人組織。\0	a,L2Font-tw.Loading_system_0140_001\0
121	3	102	1	u,血盟等級到達7級時可創立騎士團，創立騎士團時必須指定一位血盟成員成為管理者。\\n騎士團可在一組親衛隊中成立最多兩個部隊，最多可由10人組織。\0	a,L2Font-tw.Loading_system_0140_001\0
122	4	102	1	u,想重新任命部隊管理者時，必須尋找負責血盟相關工作的NPC。\\n開啟血盟介面的血盟成員清單，看到「無領導」時，就必須任命部隊管理者。\0	a,L2Font-tw.Loading_system_0140_001\0
123	3	0	1	u,加入親衛隊及騎士團後，可與所屬血盟同等的條件下參予血盟戰爭或攻城戰。\0	a,L2Font-tw.Loading_system_0140_001\0
124	1	0	1	u,血盟技能是適用於全血盟成員的技能，血盟技能只要學習一次即可永久使用到血盟解散為止。\\n但是血盟的聲望到達0時，該技能將不會有任何效果。\0	a,L2Font-tw.Loading_system_0140_001\0
125	2	101	1	u,攻擊其他玩家的角色，名字會變成紫色，攻擊紫色名字的角色也會變成紫色的名字，\\n但是攻擊紫色名字的角色時並不會受到懲罰。\0	a,
126	4	101	1	u,CP（Combat Will Point: 鬥志）是在PVP的狀態下代表體力的計量表。\\n與其他角色或是其他角色的召喚獸﹑寵物戰鬥時，會先消耗此CP條，再來消耗HP。\\n但是部分技能可先消耗HP。\0	a,
127	4	101	1	u,靈魂彈與魔靈彈分為普通﹑D級﹑C級﹑B級﹑A級﹑S級﹑R級，各級別只能裝在同等級的武器上使用。\\nS級與R級以外的靈魂彈與魔靈彈可在商店中購買。\0	a,L2Font-tw.Loading_system_4184_002\0
128	2	102	1	u,血盟主可在血盟成員情報視窗中點擊「所屬變更」按鈕來調整血盟成員的所屬親衛隊/騎士團。\\n但是血盟學院成員則無法變更所屬。\0	a,L2Font-tw.Loading_system_0140_001\0
129	3	0	1	u,宣戰後，戰鬥開始之前的前三天將套用與一般地區相同的規則。\0	a,L2Font-tw.Loading_system_0140_001\0
130	4	102	1	u,英雄角色獲得受詛咒的武器時，將無法使用英雄專用技能，\\n等受詛咒的武器消失後，英雄技能才可以恢復使用。\0	a,L2Font-tw.Loading_system_4184_002\0
131	4	0	1	u,在隊伍配對等待室中選擇要邀請的對象並按下「邀請入房」，即可先產生一個隊伍房間，\\n等隊伍房間生成後，就會自動的將邀請訊息傳送給對方。\0	a,
132	2	0	1	u,被即時地區首領或一部分狩獵首領殺害時，將會以100%機率中「席琳氣息」的毒。\\n「席琳氣息」必須等一段時間才會消失，3級以上的「席琳氣息」可透過「初學者幫手」NPC進行治療。\0	a,
133	3	0	1	u,覺醒前的召喚師職業可召喚隊員，被召喚的角色身上必須有「召喚水晶」。\\n但是維因召喚士職業不需要召喚水晶便可召喚隊員。\0	a,
134	3	101	0	u,完成特定的任務即可獲得對戰鬥有幫助的裝備及道具。\0	a,
135	4	0	1	u,財富的鐵匠及商人會在各村莊隨機移動。（說話之島除外）\0	a,
136	4	102	1	u,占領型根據地戰每兩週會舉行一次，可透過根據地外面的傳令NPC申請參加。\0	a,L2Font-tw.Loading_system_4184_003\0
137	2	101	1	u,可透過遊戲內地圖（Alt+M）的世界情報來確認任務﹑狩獵場﹑狩獵首領﹑等等多種情報。\0	a,
138	4	101	1	u,將滑鼠游標放在動作視窗（Alt+C）的圖示上面，就會顯示可使用的指令。\0	a,
139	3	101	1	u,可開啟任務視窗（Alt+U）來確認目前正在進行中的任務。\0	a,
140	3	0	1	u,要開啟個人商店販售道具時，請務必再次確認設定的商品是成套販售還是個人販售，\\n以免造成損失。\0	a,
141	3	0	1	u,可在奇岩城鎮的精品店購買各種「搜魂石 7 ~ 12 階段」。\0	a,L2Font-tw.Loading_system_4184_002\0
142	3	0	1	u,如果不是性向值大於0的角色，即使死亡也不會掉落道具。\0	a,
143	3	0	1	u,想要替換隊伍成員，可是該名成員卻在遠處嗎？\\n那麼請使用召喚戰友技能吧。\\n即使是身在遠處的角色，也會馬上召喚到您的眼前囉。\0	a,
144	3	102	0	u,進行肯特拉獸人或是巴瑞卡賽勒諾斯同盟任務時，若攻擊了同盟勢力的怪物，友好憑證就會消失，\\n同盟狀態也會被中斷，敬請注意。\0	a,
145	3	102	1	u,奧林匹亞競技必須有10人以上的申請才可進行。\0	a,L2Font-tw.Loading_system_4184_004\0
146	2	0	1	u,除了星期六﹑星期日之外，平日的20時～24時（凌晨）的一般傳送費用會折扣50%。\0	a,
147	4	102	1	u,貴族即使未加入血盟，也可透過「自我稱號」來變更稱號。\0	a,
148	4	0	1	u,宣佈血盟戰爭的血盟，可在三天內撤銷戰爭。\0	a,
149	3	102	1	u,擁有受詛咒的武器﹑副職業狀態﹑雙職業狀態以及死亡狀態時，將無法參加奧林匹亞。\0	a,L2Font-tw.Loading_system_4184_004\0
150	4	102	1	u,強化技能時，不管成功與否都將消耗金幣與SP，\\n巨人的經典﹑刻印祕傳書道具只有第一次強化技能時需要。\0	a,
151	3	0	1	u,使用幸運符咒後，不管是在首領戰或是狩獵途中角色死亡時，也不會受到席琳氣息的影響。\0	a,L2Font-tw.Loading_system_4184_002\0
152	3	0	1	u,使用勇氣護符後，在攻城戰中角色死亡時，也不會損失經驗值或受到戰場死亡後遺症的影響。\0	a,L2Font-tw.Loading_system_4184_002\0
153	2	102	1	u,透過財富的鐵匠可交換A級及之下等級的武器種類。\\n賦予稀有特效的武器則無法交換。\0	a,L2Font-tw.Loading_system_4184_002\0
154	3	0	1	u,R級以上的武器可賦予兩種特殊能力，需消耗一般搜魂石及特殊搜魂石各一個。\0	a,L2Font-tw.Loading_system_4184_002\0
155	3	0	1	u,申請血盟的君主職位時，必須等到申請日過後的維護時間結束，才可完成任命。\\n有時也會在維護時間前完成。\0	a,L2Font-tw.Loading_system_0140_001\0
156	4	0	1	u,莊園系統中的改良型種子比一般種子的播種機率低，但是使用種子也可以讓怪物掉落道具。\0	a,
157	4	0	1	u,預約付費的部分只會顯示在前一次付費狀態尚未結束的時候，\\n等前一次的付費狀態全部結束後，就會自動的套用預約的付費狀態。\0	a,
158	3	0	1	u,利用動作視窗（Alt+C）的「錄影開始/錄影結束」指令及可操作影片錄製，「錄影檔錄影開始/錄影檔錄影結束」指令可以錄影檔的方式錄製影片。\0	a,
159	3	0	1	u,到達5級的血盟可消耗聲望值來學習血盟技能。\0	a,L2Font-tw.Loading_system_0140_001\0
160	4	0	1	u,開啟環境設定中的「Enter交談」，即可使用鍵盤移動（方向鍵及W﹑A﹑S﹑D）。\0	a,
161	3	0	1	u,安全區域﹑無法召喚的區域﹑無法重新開始的區域﹑戰鬥區域（戰場）是無法進行決鬥的。\0	a,
162	2	0	1	u,隊伍決鬥時，只要隊伍成員中有一人不符合條件，就無法邀請或接受隊伍決鬥。\0	a,
163	1	0	1	u,角色處於戰鬥狀態或是有邪惡性向﹑性向值大於0的角色，都無法邀請或接受決鬥。\0	a,
164	1	0	1	u,即使在一對一或是隊伍決鬥中戰敗，也不會有死亡的結果，決鬥前擁有的輔助魔法也不會消失。\0	a,
165	3	0	1	u,開啟遊戲選項中的「拒絕決鬥邀請」，即可自動拒絕決鬥的申請。\0	a,
166	4	0	1	u,一對一決鬥的進行時間為兩分鐘，隊伍決鬥的進行時間為五分鐘，若在時間內未分出勝負，\\n則視為平手。\0	a,
167	4	0	1	u,輸入「/決鬥邀請」指令即可申請決鬥，進行一對一決鬥時，\\n可輸入「/決鬥取消」來結束決鬥。\0	a,
168	2	0	1	u,進行決鬥時，若有其他角色強制介入攻擊，將會變成邪惡性向的狀態而強制結束決鬥。\0	a,
169	4	0	1	u,進行決鬥途中，若角色進入無法決鬥的區域，則自動視為戰敗，並強制結束決鬥。\0	a,
170	3	0	1	u,參加攻城或是奧林匹亞競技時，將無法邀請或接受決鬥。\0	a,
171	2	0	1	u,目前所屬於指揮頻道的隊伍，如果邀請或接受了隊伍決鬥，將會自動從指揮頻道中退出。\0	a,
172	3	0	1	u,在隊伍配對的狀態中邀請或接受隊伍決鬥時，隊伍配對會自動被取消。\0	a,
173	3	0	1	u,決鬥途中死亡的寵物將不會減少經驗值，但是決鬥結束後也不會自動復活。\\n另外，召喚獸在決鬥中死亡時，則會解除召喚狀態。\0	a,
174	4	0	1	u,開啟個人商店或工房時，將無法進行決鬥。\0	a,
175	1	0	1	u,一對一或是隊伍決鬥途中，可以受到其他角色的輔助魔法，但是戰鬥結束後，接受的輔助魔法效果將會消失。\0	a,
177	3	102	0	u,艾森海內的票據道具可在進行「黑色的天鵝」及「面對死者的方法」任務時，\\n透過鐵匠師傅羅曼獲得獎勵。\0	a,L2Font-tw.Loading_system_4184_002\0
178	1	0	0	u,利用「/即時地區」指令來確認可重新進入即時地區的時間。\0	a,
179	2	102	1	u,屬性強化只有S級以上的道具才可進行，第一次嚐試時就會有機率失敗。\\n但是屬性強化即使失敗也不會有懲罰。\0	a,L2Font-tw.Loading_system_4184_002\0
180	3	102	1	u,在命運的私語任務中，將三種遺物交給哈奈林後，完成哈奈林的需求，即可獲得白布。\\n獲得白布後重新與哈奈林對話，並決定要做的事情時，即可將白布換成染血的布。\0	a,
181	1	0	1	u,40級以下的角色可免費享用傳送。\0	a,
182	2	0	0	u,當下位城堡為黑暗陣營，而上位城堡(亞丁，魯因)為光輝陣營時，便無法獲得城堡稅金。\0	a,L2Font-tw.Loading_system_4184_003\0
183	2	0	0	u,當「奪回被搶走的稅金」活動成功時，黑暗城堡的城主就無法獲得稅金收入。\0	a,L2Font-tw.Loading_system_0140_001\0
184	4	0	0	u,進行領地戰時，可透過迷你地圖→世界情報→領地戰情報來確認各領地的「領地守護之物」的擁有現況。\0	a,L2Font-tw.Loading_system_4184_003\0
185	2	0	0	u,參加領地戰的玩家可透過「領地管理員」來購買武器﹑防具﹑腰帶﹑飾品等等的各領地的特產品。\0	a,L2Font-tw.Loading_system_4184_003\0
186	3	0	0	u,當「奪回被搶走的稅金」活動成功時，黑暗城堡的城主就無法獲得稅金收入。\0	a,L2Font-tw.Loading_system_4184_003\0
