nbr	tag	id	castle_name	location	desc	extra1	extra2	extra3	extra4
34	1	46	u,奇岩銀色小屋\0	u,奇岩\0	u,在奇岩城鎮的高級根據地\0	a,	a,	a,	a,
35	1	47	u,高達特月長石廳\0	u,高達特\0	u,在高達特城鎮的高級根據地\0	a,	a,	a,	a,
36	1	48	u,高達特瑪瑙廳\0	u,高達特\0	u,在高達特城鎮的高級根據地\0	a,	a,	a,	a,
37	1	49	u,高達特綠寶石廳\0	u,高達特\0	u,在高達特城鎮的高級根據地\0	a,	a,	a,	a,
38	1	50	u,高達特藍寶石廳\0	u,高達特\0	u,在高達特城鎮的高級根據地\0	a,	a,	a,	a,
39	1	51	u,魯因蒙特接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
40	1	52	u,魯因修特倫接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
41	1	53	u,魯因維納斯接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
42	1	54	u,魯因瑪爾斯接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
43	1	55	u,魯因雅蒂斯接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
44	1	56	u,魯因普魯托接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
45	1	57	u,魯因特拉潘接待室\0	u,魯因\0	u,在魯因城鎮的高級根據地\0	a,	a,	a,	a,
46	1	58	u,修加特鋼鐵之廳\0	u,修加特\0	u,在修加特城鎮的高級根據地\0	a,	a,	a,	a,
47	1	59	u,修加特冷鑄之廳\0	u,修加特\0	u,在修加特城鎮的高級根據地\0	a,	a,	a,	a,
48	1	60	u,修加特熱煉之廳\0	u,修加特\0	u,在修加特城鎮的高級根據地\0	a,	a,	a,	a,
49	1	61	u,修加特鈦金之聽\0	u,修加特\0	u,在修加特城鎮的高級根據地\0	a,	a,	a,	a,
50	1	62	u,虹彩之泉\0	u,高達特\0	a,	a,	a,	a,	a,
51	1	63	u,野獸農莊\0	u,魯因\0	a,	a,	a,	a,	a,
52	1	64	u,亡者的要塞\0	u,魯因\0	a,	a,	a,	a,	a,
53	1	81	u,古魯丁領地\0	u,古魯丁\0	u,受到古魯丁領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_gludio\0	a,L2UI_CT1.Clan_DF_territorywaricon_gludio_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_gludio\0	u,古魯丁守護士兵\0
54	1	82	u,狄恩領地\0	u,狄恩\0	u,受到狄恩領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_dion\0	a,L2UI_CT1.Clan_DF_territorywaricon_dion_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_dion\0	u,狄恩守護士兵\0
55	1	83	u,奇岩領地\0	u,奇岩\0	u,受到奇岩領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_giran\0	a,L2UI_CT1.Clan_DF_territorywaricon_giran_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_giran\0	u,奇岩守護士兵\0
56	1	84	u,歐瑞領地\0	u,歐瑞\0	u,受到歐瑞領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_oren\0	a,L2UI_CT1.Clan_DF_territorywaricon_oren_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_oren\0	u,歐瑞守護士兵\0
57	1	85	u,亞丁領地\0	u,亞丁\0	u,受到亞丁領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_aden\0	a,L2UI_CT1.Clan_DF_territorywaricon_aden_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_aden\0	u,亞丁守護士兵\0
58	1	86	u,因納得立領地\0	u,因納得立\0	u,受到因納得立領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_innadril\0	a,L2UI_CT1.Clan_DF_territorywaricon_innadril_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_innadril\0	u,因納得立守護士兵\0
59	1	87	u,高達特領地\0	u,高達特\0	u,受到高達特領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_godard\0	a,L2UI_CT1.Clan_DF_territorywaricon_godard_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_godard\0	u,高達特守護士兵\0
60	1	88	u,魯因領地\0	u,魯因\0	u,受到魯因領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_rune\0	a,L2UI_CT1.Clan_DF_territorywaricon_rune_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_rune\0	u,魯因守護士兵\0
61	1	89	u,修加特領地\0	u,修加特\0	u,受到修加特領主統治的地區\0	a,L2UI_CT1.Clan_DF_territorywaricon_schuttgart\0	a,L2UI_CT1.Clan_DF_territorywaricon_schuttgart_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_schuttgart\0	u,修加特守護士兵\0
62	1	101	u,野營要塞\0	u,古魯丁\0	u,古魯丁地區之領地要塞\0	a,	a,	a,	a,
63	1	102	u,古魯丁南部要塞\0	u,古魯丁\0	u,古魯丁地區之領地要塞\0	a,	a,	a,	a,
64	1	103	u,蜂窩要塞\0	u,狄恩\0	u,狄恩地區之領地要塞\0	a,	a,	a,	a,
65	1	104	u,峽谷要塞\0	u,奇岩\0	u,奇岩地區之領地要塞\0	a,	a,	a,	a,
66	1	105	u,象牙塔要塞\0	u,歐瑞\0	u,歐瑞地區之領地要塞\0	a,	a,	a,	a,
67	1	106	u,湖泊要塞\0	u,亞丁\0	u,亞丁地區之領地要塞\0	a,	a,	a,	a,
68	1	107	u,盆地要塞\0	u,亞丁\0	u,亞丁地區之領地要塞\0	a,	a,	a,	a,
69	1	108	u,白沙灘要塞\0	u,因納得立\0	u,因納得立地區之領地要塞\0	a,	a,	a,	a,
70	1	109	u,前哨基地要塞\0	u,高達特\0	u,高達特地區之領地要塞\0	a,	a,	a,	a,
71	1	110	u,沼澤要塞\0	u,魯因\0	u,魯因地區之領地要塞\0	a,	a,	a,	a,
72	1	111	u,遺蹟要塞\0	u,修加特\0	u,修加特地區之領地要塞\0	a,	a,	a,	a,
73	1	112	u,芙羅蘭邊境要塞\0	u,狄恩\0	u,位於狄恩與古魯丁邊境的要塞\0	a,	a,	a,	a,
74	1	113	u,薄霧山脈邊境要塞\0	u,歐瑞\0	u,位於歐瑞與古魯丁邊境的要塞\0	a,	a,	a,	a,
75	1	114	u,塔諾邊境要塞\0	u,狄恩\0	u,位於狄恩與奇岩邊境的要塞\0	a,	a,	a,	a,
76	1	115	u,巨龍士伯吟邊境要塞\0	u,歐瑞\0	u,位於歐瑞與狄恩邊境的要塞\0	a,	a,	a,	a,
77	1	116	u,地龍的邊境要塞\0	u,歐瑞\0	u,位於歐瑞與奇岩邊境的要塞\0	a,	a,	a,	a,
78	1	117	u,西部國境邊境要塞\0	u,歐瑞\0	u,位於歐瑞與亞丁、高達特邊境的要塞\0	a,	a,	a,	a,
79	1	118	u,獵人的邊境要塞\0	u,亞丁\0	u,位於亞丁與奇岩邊境的要塞\0	a,	a,	a,	a,
80	1	119	u,平原邊境要塞\0	u,因納得立\0	u,位於因納得立與奇岩邊境的要塞\0	a,	a,	a,	a,
81	1	120	u,死靈的邊境要塞\0	u,高達特\0	u,位於高達特與魯因邊境的要塞\0	a,	a,	a,	a,
82	1	121	u,聖者邊境要塞\0	u,魯因\0	u,位於魯因與修加特邊境的要塞\0	a,	a,	a,	a,
