id	unk_0[0]	unk_0[1]	unk_0[2]	desc	desc2	unk_1[0]	unk_1[1]	cnt0	unk_2[0]	unk_2[1]	unk_2[2]	unk_2[3]	unk_2[4]	unk_2[5]	unk_2[6]	unk_2[7]	unk_2[8]	unk_2[9]	unk_2[10]	unk_2[11]	unk_2[12]	unk_2[13]	unk_2[14]	unk_2[15]	unk_2[16]
55	13	8	54	a,R\0	u,個\0	0	1	0																	
56	13	5	54	a,S\0	u,個\0	0	1	0																	
57	13	4	54	a,A\0	u,個\0	0	1	0																	
58	13	3	54	a,B\0	u,個\0	0	1	0																	
59	13	2	54	a,C\0	u,個\0	0	1	0																	
60	13	1	54	a,D\0	u,個\0	0	1	0																	
61	-1	0	1	u,魔靈彈使用量\0	a,	0	0	6	62	63	64	65	66	67											
62	14	8	61	a,R\0	u,個\0	0	1	0																	
63	14	5	61	a,S\0	u,個\0	0	1	0																	
64	14	4	61	a,A\0	u,個\0	0	1	0																	
65	14	3	61	a,B\0	u,個\0	0	1	0																	
66	14	2	61	a,C\0	u,個\0	0	1	0																	
67	14	1	61	a,D\0	u,個\0	0	1	0																	
68	18	0	1	u,復活次數\0	u,次\0	0	0	0																	
69	19	0	1	u,被復活次數\0	u,次\0	0	0	0																	
70	20	0	1	u,死亡次數\0	u,次\0	0	0	0																	
2	-1	0	0	u,狩獵館\0	u,個\0	0	0	6	71	72	73	82	91	100											
71	1000	0	2	u,擊倒怪物\0	u,隻\0	0	0	0																	
72	1001	0	2	u,擊倒怪物經驗值\0	a,	0	0	0																	
73	-1	0	2	u,對怪物一擊最大傷害值\0	a,	0	0	8	74	75	76	77	78	79	80	81									
74	1003	139	73	u,席格爾騎士\0	a,	0	1	0																	
75	1003	140	73	u,提爾鬥士\0	a,	0	1	0																	
76	1003	142	73	u,尤爾弓手\0	a,	0	1	0																	
77	1003	141	73	u,歐瑟遊俠\0	a,	0	1	0																	
78	1003	144	73	u,伊斯法師\0	a,	0	1	0																	
79	1003	143	73	u,菲歐巫師\0	a,	0	1	0																	
80	1003	145	73	u,維因召喚士\0	a,	0	1	0																	
81	1003	146	73	u,艾羅牧師\0	a,	0	1	0																	
82	-1	0	2	u,對怪物總累積傷害值\0	a,	0	0	8	83	84	85	86	87	88	89	90									
83	1004	139	82	u,席格爾騎士\0	a,	0	1	0																	
84	1004	140	82	u,提爾鬥士\0	a,	0	1	0																	
85	1004	142	82	u,尤爾弓手\0	a,	0	1	0																	
86	1004	141	82	u,歐瑟遊俠\0	a,	0	1	0																	
87	1004	144	82	u,伊斯法師\0	a,	0	1	0																	
88	1004	143	82	u,菲歐巫師\0	a,	0	1	0																	
89	1004	145	82	u,維因召喚士\0	a,	0	1	0																	
90	1004	146	82	u,艾羅牧師\0	a,	0	1	0																	
91	-1	0	2	u,對怪物總累積被傷害值\0	a,	0	0	8	92	93	94	95	96	97	98	99									
92	1005	139	91	u,席格爾騎士\0	a,	0	1	0																	
93	1005	140	91	u,提爾鬥士\0	a,	0	1	0																	
94	1005	142	91	u,尤爾弓手\0	a,	0	1	0																	
95	1005	141	91	u,歐瑟遊俠\0	a,	0	1	0																	
96	1005	144	91	u,伊斯法師\0	a,	0	1	0																	
97	1005	143	91	u,菲歐巫師\0	a,	0	1	0																	
98	1005	145	91	u,維因召喚士\0	a,	0	1	0																	
99	1005	146	91	u,艾羅牧師\0	a,	0	1	0																	
100	1002	0	2	u,被怪物擊倒死亡次數\0	u,次\0	0	0	0																	
3	-1	0	0	u,首領館\0	u,次\0	4	0	12	101	102	103	104	105	106	107	108	109	110	111	112					
101	1006	25774	3	u,哈勒那克的惡靈\0	u,次\0	4	0	0																	
102	1006	25785	3	u,特拉贊\0	u,次\0	4	0	0																	
103	1006	29195	3	u,伊絲蒂娜\0	u,次\0	4	0	0																	
104	1006	25779	3	u,斯佩席亞\0	u,次\0	4	0	0																	
105	1006	25866	3	u,阿芙蘿絲\0	u,次\0	4	0	0																	
106	1006	29194	3	u,歐塔比斯\0	u,次\0	4	0	0																	
107	1006	29218	3	u,巴洛克\0	u,次\0	4	0	0																	
108	1006	29213	3	u,巴爾勒\0	u,次\0	4	0	0																	
109	1006	29196	3	u,伊絲蒂娜極限戰\0	u,次\0	4	0	0																	
110	1006	25867	3	u,斯佩席亞極限戰\0	u,次\0	4	0	0																	
111	1006	29212	3	u,歐塔比斯極限戰\0	u,次\0	4	0	0																	
112	1006	29197	3	u,地蟲\0	u,次\0	4	0	0																	
4	-1	0	0	u,PVP館\0	u,個\0	0	0	7	113	114	115	116	117	126	135										
113	2004	0	4	u,PK勝利次數\0	u,人\0	0	0	0																	
114	2005	0	4	u,PVP勝利次數\0	u,人\0	0	0	0																	
115	2001	0	4	u,PK失敗次數\0	u,次\0	0	0	0																	
116	2002	0	4	u,PVP失敗次數\0	u,次\0	0	0	0																	
117	-1	0	4	u,對角色一擊最大傷害值\0	a,	0	0	8	118	119	120	121	122	123	124	125									
118	2006	139	117	u,席格爾騎士\0	a,	0	1	0																	
119	2006	140	117	u,提爾鬥士\0	a,	0	1	0																	
120	2006	142	117	u,尤爾弓手\0	a,	0	1	0																	
121	2006	141	117	u,歐瑟遊俠\0	a,	0	1	0																	
122	2006	144	117	u,伊斯法師\0	a,	0	1	0																	
123	2006	143	117	u,菲歐巫師\0	a,	0	1	0																	
124	2006	145	117	u,維因召喚士\0	a,	0	1	0																	
125	2006	146	117	u,艾羅牧師\0	a,	0	1	0																	
126	-1	0	4	u,對角色總累積傷害值\0	a,	0	0	8	127	128	129	130	131	132	133	134									
127	2007	139	126	u,席格爾騎士\0	a,	0	1	0																	
128	2007	140	126	u,提爾鬥士\0	a,	0	1	0																	
129	2007	142	126	u,尤爾弓手\0	a,	0	1	0																	
130	2007	141	126	u,歐瑟遊俠\0	a,	0	1	0																	
131	2007	144	126	u,伊斯法師\0	a,	0	1	0																	
132	2007	143	126	u,菲歐巫師\0	a,	0	1	0																	
133	2007	145	126	u,維因召喚士\0	a,	0	1	0																	
134	2007	146	126	u,艾羅牧師\0	a,	0	1	0																	
135	-1	0	4	u,對角色總累積被傷害值\0	a,	0	0	8	136	137	138	139	140	141	142	143									
136	2008	139	135	u,席格爾騎士\0	a,	0	1	0																	
137	2008	140	135	u,提爾鬥士\0	a,	0	1	0																	
138	2008	142	135	u,尤爾弓手\0	a,	0	1	0																	
139	2008	141	135	u,歐瑟遊俠\0	a,	0	1	0																	
140	2008	144	135	u,伊斯法師\0	a,	0	1	0																	
141	2008	143	135	u,菲歐巫師\0	a,	0	1	0																	
142	2008	145	135	u,維因召喚士\0	a,	0	1	0																	
143	2008	146	135	u,艾羅牧師\0	a,	0	1	0																	
5	-1	0	0	u,血盟館\0	u,個\0	0	0	7	144	145	146	147	148	149	150										
144	3000	0	5	u,血盟成員數\0	u,人\0	0	0	0																	
145	3001	0	5	u,加入者數\0	u,人\0	0	0	0																	
146	3002	0	5	u,脫離者數\0	u,人\0	0	0	0																	
147	3003	0	5	u,聲望值\0	a,	0	0	0																	
148	3004	0	5	u,財產\0	u,金幣\0	0	0	0																	
149	3005	0	5	u,PVP次數\0	u,人\0	0	0	0																	
150	3006	0	5	u,血盟戰勝利\0	u,次\0	0	0	0																	
0	-1	-1	-1	a,	a,	0	0	5	1	2	3	4	5												
