nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa[0]	dupa[1]	dupa[2]	dupa[3]	dupa[4]
17	254	19	23	-4400.00000000	-7520.00000000	u,螞蟻洞窟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
18	251	17	22	30000.00000000	-30000.00000000	u,古魯丁競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
19	254	19	21	30000.00000000	-30000.00000000	u,古魯丁城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
20	255	19	21	30000.00000000	-30000.00000000	u,古魯丁城鎮\0	756	1932	-24416	114688	1024	1024	0.05000000	a,map_gludio_castle_town\0	0	0	0	-14137	123827
21	255	17	22	30000.00000000	-30000.00000000	u,古魯丁村莊\0	433	2079	-92160	143072	1024	1024	0.05000000	a,map_gludin_village\0	0	0	0	-81861	152571
22	254	17	22	30000.00000000	-30000.00000000	u,古魯丁港口\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
23	255	18	24	30000.00000000	-4200.00000000	u,朗克蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
24	253	18	23	30000.00000000	-3700.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
25	253	19	21	30000.00000000	-30000.00000000	u,雄性蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
26	253	17	20	30000.00000000	-4200.00000000	u,風之丘陵\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
27	255	18	21	30000.00000000	-30000.00000000	u,悲哀廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
28	254	18	23	-3760.00000000	-5632.00000000	u,遺忘神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
29	255	19	22	30000.00000000	-30000.00000000	u,絕望廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
30	255	17	21	30000.00000000	-30000.00000000	u,土瑞克獸人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
31	255	18	22	30000.00000000	-30000.00000000	u,荒廢的營區\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
32	255	21	25	-4874.00000000	-6874.00000000	u,精靈廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
33	255	21	25	30000.00000000	-30000.00000000	u,精靈廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
34	255	21	25	30000.00000000	-6873.00000000	u,中立海域\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
35	255	16	25	30000.00000000	-30000.00000000	u,說話之島村莊\0	291	2577	-124384	244128	1024	1024	0.05000000	a,map_talkin_island_village\0	0	0	0	-114345	255667
41	253	22	22	30000.00000000	-30000.00000000	u,奇岩競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
42	255	23	22	30000.00000000	-30000.00000000	u,奇岩城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
43	255	22	22	30000.00000000	-30000.00000000	u,奇岩城鎮\0	1244	2053	73536	140032	1024	1024	0.05000000	a,map_giran_castle_town\0	0	0	0	81975	148751
44	255	21	23	30000.00000000	-30000.00000000	u,奇岩港口\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
45	255	24	21	30000.00000000	-30000.00000000	u,安塔瑞斯洞窟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
46	251	22	21	30000.00000000	-30000.00000000	u,死亡迴廊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
47	254	20	22	30000.00000000	-30000.00000000	u,狄恩城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
48	255	20	22	30000.00000000	-30000.00000000	u,狄恩城鎮\0	927	2042	8032	135264	1024	1024	0.05000000	a,map_dion_castle_town\0	0	0	0	18991	144663
49	252	20	23	30000.00000000	-30000.00000000	u,怪物競賽場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
50	255	21	21	30000.00000000	-30000.00000000	u,反抗軍根據地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
51	255	21	22	30000.00000000	-30000.00000000	u,基洛德要塞\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
52	253	20	21	30000.00000000	-4407.00000000	u,克魯瑪沼澤地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
53	255	20	21	30000.00000000	-30000.00000000	u,克魯瑪沼澤地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
54	254	20	21	30000.00000000	-4407.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
55	253	20	21	-4408.00000000	-14036.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
56	254	20	21	-4408.00000000	-30000.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
57	254	21	22	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
58	255	20	23	30000.00000000	-30000.00000000	u,芙羅蘭村莊\0	903	2156	6848	160576	1024	1024	0.05000000	a,map_floran_village\0	0	0	0	17547	170115
59	253	20	23	30000.00000000	-30000.00000000	u,蜜蜂蜂窩\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
60	255	20	14	-1952.00000000	-3952.00000000	u,試練洞窟\0	909	765	7400	-124192	1024	1024	0.05000000	a,dungeon_map_dungeon_of_trial\0	0	0	0	0	0
61	255	20	13	30000.00000000	-30000.00000000	u,冰凍瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
62	255	18	14	30000.00000000	-30000.00000000	u,半獸人村莊\0	602	743	-58176	-123072	1024	1024	0.05000000	a,map_orc_village\0	0	0	0	-44277	-113673
63	254	18	14	30000.00000000	-30000.00000000	u,帕格立歐神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
64	254	23	12	30000.00000000	-30000.00000000	u,矮人村莊\0	1417	401	105504	-191328	1024	1024	0.05000000	a,map_dwarven_village\0	0	0	0	115383	-178269
65	255	25	12	4224.00000000	-4810.00000000	u,米索莉礦山\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
66	255	24	12	3424.00000000	-2704.00000000	u,廢棄的礦坑\0	1552	453	134800	-182650	1024	1024	0.05000000	a,dungeon_map_abaodoned_mime\0	0	0	0	0	0
67	255	23	12	30000.00000000	-30000.00000000	u,採石場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
68	255	24	20	30000.00000000	-30000.00000000	u,鏡之森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
69	255	25	19	30000.00000000	-30000.00000000	u,巨人洞穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
70	254	25	19	-5172.00000000	-30000.00000000	u,寂靜之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
71	255	25	18	30000.00000000	-30000.00000000	u,國立墓地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
72	255	24	19	30000.00000000	-30000.00000000	u,拿爾瑟湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
73	253	25	19	30000.00000000	-30000.00000000	u,忘卻平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
74	255	23	20	30000.00000000	-30000.00000000	u,獵人村莊\0	1424	1706	107872	67840	1024	1024	0.05000000	a,map_hunters_village\0	0	0	0	117451	76699
75	254	25	18	30000.00000000	-4000.00000000	u,席琳封印\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
76	254	24	18	30000.00000000	-30000.00000000	u,亞丁城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
77	255	24	18	30000.00000000	-30000.00000000	u,亞丁城鎮\0	1574	1446	136992	15616	1024	1024	0.05000000	a,map_town_of_aden\0	0	0	0	147491	25815
78	254	25	20	30000.00000000	-30000.00000000	u,昂赫瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
79	251	23	18	6944.00000000	5952.00000000	u,傲慢之塔：第10層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
80	251	23	18	7952.00000000	6976.00000000	u,傲慢之塔：第11層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
81	251	23	18	8960.00000000	7968.00000000	u,傲慢之塔：第12層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
82	251	23	18	10048.00000000	8976.00000000	u,傲慢之塔：第13層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
83	251	23	18	12000.00000000	10064.00000000	u,傲慢之塔：第14層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
84	251	23	18	-3728.00000000	-10000.00000000	u,傲慢之塔：第1層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
85	251	23	18	-2192.00000000	-3680.00000000	u,傲慢之塔：第2層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
86	251	23	18	-704.00000000	-2128.00000000	u,傲慢之塔：第3層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
87	251	23	18	784.00000000	-688.00000000	u,傲慢之塔：第4層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
88	251	23	18	1872.00000000	896.00000000	u,傲慢之塔：第5層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
89	251	23	18	2912.00000000	1888.00000000	u,傲慢之塔：第6層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
90	251	23	18	3920.00000000	2928.00000000	u,傲慢之塔：第7層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
91	251	23	18	4928.00000000	3952.00000000	u,傲慢之塔：第8層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
92	251	23	18	5936.00000000	4944.00000000	u,傲慢之塔：第9層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
93	254	24	19	30000.00000000	-30000.00000000	u,大圓形競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
94	255	25	17	30000.00000000	-4220.00000000	u,毀壞的城堡\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
95	255	24	17	30000.00000000	-30000.00000000	u,燃燒的沼澤\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
96	254	23	17	30000.00000000	-30000.00000000	u,古戰場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
97	253	23	17	30000.00000000	-30000.00000000	u,東部國境守備隊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
98	255	22	17	30000.00000000	-30000.00000000	u,山賊城寨\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
99	255	22	18	30000.00000000	-4632.00000000	u,象牙塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
100	254	22	19	30000.00000000	-30000.00000000	u,歐瑞城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
101	255	22	19	30000.00000000	-30000.00000000	u,歐瑞城鎮\0	1250	1595	70880	44544	1024	1024	0.05000000	a,map_town_of_oren\0	0	0	0	81599	54783
102	254	22	20	30000.00000000	-3900.00000000	u,蜥蜴草原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
103	255	23	19	30000.00000000	-30000.00000000	u,妖精谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
104	255	21	18	30000.00000000	-30000.00000000	u,孢子之海\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
105	253	22	19	30000.00000000	-30000.00000000	u,權能培訓場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
106	255	19	19	30000.00000000	-30000.00000000	u,血之沼澤\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
107	255	20	18	30000.00000000	-30000.00000000	u,黑暗精靈村莊\0	885	1394	1024	6336	1024	1024	0.05000000	a,map_dark_elven_village\0	0	0	0	11343	16755
108	254	20	18	30000.00000000	-30000.00000000	u,席琳神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
109	255	18	20	30000.00000000	-4000.00000000	u,黑暗精靈成人祭壇\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
110	255	18	19	30000.00000000	-30000.00000000	u,黑魔法學院\0	608	1572	-57500	39808	1024	1024	0.05000000	a,dungeon_map_black_magic_laboratory\0	0	0	0	0	0
111	254	21	19	30000.00000000	-30000.00000000	u,世界樹的樹蔭\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
112	255	21	20	30000.00000000	-30000.00000000	u,愛麗絲湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
113	255	21	19	30000.00000000	-30000.00000000	u,精靈村莊\0	1071	1568	35680	35680	1024	1024	0.05000000	a,map_elven_village\0	0	0	0	45199	49539
114	255	20	20	-3200.00000000	-4450.00000000	u,精靈的地底要塞\0	958	1687	8320	68086	1024	1024	0.05000000	a,dungeon_map_elven_underground_fortress\0	0	0	0	0	0
115	253	21	19	30000.00000000	-30000.00000000	u,星光的瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
116	255	22	23	30000.00000000	-30000.00000000	u,寧靜平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
117	255	22	24	30000.00000000	-30000.00000000	u,細語平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
118	255	23	24	30000.00000000	-30000.00000000	u,水上都市海音斯\0	1391	2436	100896	212416	1024	1024	0.05000000	a,map_heine\0	0	0	0	11335	219915
119	255	21	24	30000.00000000	-30000.00000000	u,惡魔島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
120	255	23	23	30000.00000000	-30000.00000000	u,鱷魚島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
121	255	22	25	30000.00000000	-30000.00000000	u,伊娃的水中庭園\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
122	254	23	24	30000.00000000	-30000.00000000	u,遊覽船碼頭\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
123	255	23	25	30000.00000000	-30000.00000000	u,因納得立城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
124	254	21	24	30000.00000000	-30000.00000000	u,海賊隧道\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
125	249	17	21	-3968.00000000	-5056.00000000	u,黎明的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
126	249	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
127	249	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
128	249	18	24	-4282.00000000	-5242.00000000	u,祭物的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
129	249	19	18	-4224.00000000	-5056.00000000	u,凶煞的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
130	249	19	20	-4496.00000000	-5328.00000000	u,烈士的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
131	249	21	21	-4736.00000000	-5568.00000000	u,巡禮者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
132	249	21	22	-4704.00000000	-5536.00000000	u,異端者的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
133	249	21	23	-4304.00000000	-5136.00000000	u,烙印的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
134	249	22	20	-3936.00000000	-5280.00000000	u,異教徒的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
135	249	22	24	-4762.00000000	-5594.00000000	u,聖者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
136	249	23	20	-5352.00000000	-6696.00000000	u,密謀者的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
137	249	23	22	-4154.00000000	-4986.00000000	u,殉教者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
138	249	23	23	-4762.00000000	-5594.00000000	u,參拜者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
139	249	24	20	-3984.00000000	-5584.00000000	u,魔道的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
140	249	25	17	-4224.00000000	-5644.00000000	u,使徒的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
141	255	16	10	30000.00000000	-30000.00000000	u,GM諮詢處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
142	255	18	24	-4282.00000000	-5242.00000000	u,祭物的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
143	253	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
144	249	17	20	30000.00000000	-4220.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
145	250	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
146	250	17	20	30000.00000000	-4220.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
147	252	18	22	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
148	252	17	22	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
149	255	19	24	30000.00000000	-4200.00000000	u,朗克蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
150	253	18	24	30000.00000000	-30000.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
151	253	19	24	30000.00000000	-30000.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
152	253	18	23	-3760.00000000	-5632.00000000	u,遺忘神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
153	254	21	23	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
154	254	22	22	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
155	253	21	23	30000.00000000	-30000.00000000	u,蜜蜂蜂窩\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
156	254	23	18	30000.00000000	-30000.00000000	u,古戰場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
157	249	18	24	30000.00000000	-4200.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
158	249	22	20	30000.00000000	-3900.00000000	u,歐瑞領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
159	254	22	20	-3936.00000000	-5280.00000000	u,異教徒的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
160	249	17	21	30000.00000000	-3950.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
161	249	18	20	30000.00000000	-4000.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
162	255	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
163	250	18	20	30000.00000000	-4000.00000000	u,薄霧山脈\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
164	250	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
165	250	19	20	-4496.00000000	-5328.00000000	u,烈士的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
166	249	19	20	30000.00000000	-4480.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
167	250	19	20	30000.00000000	-4480.00000000	u,中立地帶\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
168	249	19	18	30000.00000000	-4220.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
169	249	21	21	30000.00000000	-4700.00000000	u,反抗軍根據地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
170	249	21	22	30000.00000000	-4700.00000000	u,基洛德要塞\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
171	249	21	23	30000.00000000	-4300.00000000	u,奇岩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
172	249	22	24	30000.00000000	-4760.00000000	u,細語平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
173	249	23	20	30000.00000000	-5350.00000000	u,獵人村莊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
174	249	23	22	30000.00000000	-4150.00000000	u,哥肯的花園\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
175	249	23	23	30000.00000000	-4760.00000000	u,鱷魚島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
176	249	24	20	30000.00000000	-3980.00000000	u,鏡之森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
177	255	25	17	-4224.00000000	-5644.00000000	u,使徒的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
178	255	25	21	30000.00000000	-30000.00000000	u,安塔瑞斯巢穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
179	254	19	23	30000.00000000	-4400.00000000	u,荒原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
180	255	20	14	30000.00000000	29999.00000000	u,里歐領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
181	255	20	20	30000.00000000	-3100.00000000	u,精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
182	254	18	23	30000.00000000	-3700.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
183	255	24	12	30000.00000000	3430.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
184	255	25	12	30000.00000000	4250.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
185	254	25	19	30000.00000000	-5170.00000000	u,巨人洞穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
186	254	19	19	30000.00000000	-30000.00000000	u,水精的瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
187	254	22	18	30000.00000000	-30000.00000000	u,諸神的祭壇瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
188	249	25	17	30000.00000000	-4220.00000000	u,殺戮的大地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
189	244	19	13	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
