id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20032	u,大蜘蛛\0	a,	9C	E8	A9	-1
20033	u,影之鐮刀\0	a,	9C	E8	A9	-1
20034	u,蜘蛛攔截者\0	a,	9C	E8	A9	-1
20035	u,骷髏搜查兵\0	a,	9C	E8	A9	-1
20036	u,風精\0	a,	9C	E8	A9	-1
20037	u,瑪那吸血鬼\0	a,	9C	E8	A9	-1
20038	u,巨大毒蜘蛛\0	a,	9C	E8	A9	-1
20039	u,食腐鼠人\0	a,	9C	E8	A9	-1
20040	u,斯卡鼠人\0	a,	9C	E8	A9	-1
20041	u,腐爛殭屍\0	a,	9C	E8	A9	-1
20042	u,骷髏搜查兵隊長\0	a,	9C	E8	A9	-1
20043	u,縛毒蜘蛛\0	a,	9C	E8	A9	-1
20044	u,風精圖倫\0	a,	9C	E8	A9	-1
20045	u,骷髏巡守\0	a,	9C	E8	A9	-1
20046	u,血色殭屍\0	a,	9C	E8	A9	-1
20047	u,斯卡鼠人隊長\0	a,	9C	E8	A9	-1
20048	u,小魅魔\0	a,	9C	E8	A9	-1
20049	u,獸化狼人\0	a,	9C	E8	A9	-1
20050	u,劇毒掠奪者\0	a,	9C	E8	A9	-1
20051	u,骷髏射手\0	a,	9C	E8	A9	-1
20052	u,小魅魔圖倫\0	a,	9C	E8	A9	-1
20053	u,豺狼巡邏員\0	a,	9C	E8	A9	-1
20054	u,廢墟史巴托\0	a,	9C	E8	A9	-1
20055	u,監視者\0	a,	9C	E8	A9	-1
20056	u,德雷巴奴破壞者\0	a,	9C	E8	A9	-1
20057	u,小魅魔堤佛\0	a,	9C	E8	A9	-1
20058	u,豺狼警衛兵\0	a,	9C	E8	A9	-1
20059	u,巡邏者\0	a,	9C	E8	A9	-1
20060	u,狂怒的史巴托\0	a,	9C	E8	A9	-1
20061	u,豺狼殘存者\0	a,	9C	E8	A9	-1
20062	u,突倫食人妖\0	a,	9C	E8	A9	-1
20063	u,豺狼射手\0	a,	9C	E8	A9	-1
20064	u,突倫食人妖戰士\0	a,	9C	E8	A9	-1
20065	u,豺狼巡守\0	a,	9C	E8	A9	-1
20066	u,豺狼軍官\0	a,	9C	E8	A9	-1
20067	u,觀察者\0	a,	9C	E8	A9	-1
20068	u,搜索者\0	a,	9C	E8	A9	-1
20069	u,西魯蜥蜴人巡守\0	a,	9C	E8	A9	-1
20070	u,邪惡蜥蜴\0	a,	9C	E8	A9	-1
20071	u,西魯蜥蜴人戰士\0	a,	9C	E8	A9	-1
20072	u,劇毒邪惡蜥蜴\0	a,	9C	E8	A9	-1
20073	u,豺狼軍團兵\0	a,	9C	E8	A9	-1
20074	u,毒蠍\0	a,	9C	E8	A9	-1
20075	u,幼蟻\0	a,	9C	E8	A9	-1
20076	u,豺狼指揮官\0	a,	9C	E8	A9	-1
20077	u,狩獵毒蠍\0	a,	9C	E8	A9	-1
20078	u,風之細語\0	a,	9C	E8	A9	-1
20079	u,工蟻\0	a,	9C	E8	A9	-1
20080	u,工蟻隊長\0	a,	9C	E8	A9	-1
20081	u,工蟻監督者\0	a,	9C	E8	A9	-1
20082	u,兵蟻新兵\0	a,	9C	E8	A9	-1
20083	u,花崗石高崙\0	a,	9C	E8	A9	-1
20084	u,兵蟻斥候\0	a,	9C	E8	A9	-1
20085	u,破壞者\0	a,	9C	E8	A9	-1
20086	u,兵蟻警衛\0	a,	9C	E8	A9	-1
20087	u,兵蟻\0	a,	9C	E8	A9	-1
20088	u,兵蟻隊長\0	a,	9C	E8	A9	-1
20089	u,雄蟻\0	a,	9C	E8	A9	-1
20090	u,雄蟻隊長\0	a,	9C	E8	A9	-1
20091	u,幼狐狸\0	a,	9C	E8	A9	-1
20092	u,眼怪\0	a,	9C	E8	A9	-1
20093	u,獸人鬥士\0	a,	9C	E8	A9	-1
20094	u,獸人射手\0	a,	9C	E8	A9	-1
20095	u,吸血蝙蝠\0	a,	9C	E8	A9	-1
20096	u,獸人鬥士副隊長\0	a,	9C	E8	A9	-1
20097	u,長齒蝙蝠\0	a,	9C	E8	A9	-1
20098	u,獸人鬥士隊長\0	a,	9C	E8	A9	-1
20099	u,骷髏\0	a,	9C	E8	A9	-1
20100	u,骷髏弓箭手\0	a,	9C	E8	A9	-1
20101	u,碎裂者\0	a,	9C	E8	A9	-1
20102	u,骷髏狙擊兵\0	a,	9C	E8	A9	-1
20103	u,巨大蜘蛛\0	a,	9C	E8	A9	-1
20104	u,骷髏偵查員\0	a,	9C	E8	A9	-1
20105	u,黑暗鐮刀\0	a,	9C	E8	A9	-1
20106	u,戮殺者\0	a,	9C	E8	A9	-1
20107	u,鼠人\0	a,	9C	E8	A9	-1
20108	u,撕裂者\0	a,	9C	E8	A9	-1
20109	u,火蜥蜴\0	a,	9C	E8	A9	-1
20110	u,水精\0	a,	9C	E8	A9	-1
20111	u,鼠人副隊長\0	a,	9C	E8	A9	-1
20112	u,火蜥蜴利比\0	a,	9C	E8	A9	-1
20113	u,水精利比\0	a,	9C	E8	A9	-1
20114	u,火蜥蜴夷巴\0	a,	9C	E8	A9	-1
20115	u,水精夷巴\0	a,	9C	E8	A9	-1
20116	u,狐狸\0	a,	9C	E8	A9	-1
20117	u,德雷巴奴\0	a,	9C	E8	A9	-1
20118	u,德雷巴奴巡守\0	a,	9C	E8	A9	-1
20119	u,狐狸首領\0	a,	9C	E8	A9	-1
20120	u,狼\0	a,	9C	E8	A9	-1
20121	u,巨大蛤蟆\0	a,	9C	E8	A9	-1
20130	u,獸人\0	a,	9C	E8	A9	-1
20131	u,獸人士兵\0	a,	9C	E8	A9	-1
20132	u,狼人\0	a,	9C	E8	A9	-1
20133	u,食人妖\0	a,	9C	E8	A9	-1
20134	u,蛇人之后\0	a,	9C	E8	A9	-1
20135	u,鱷魚\0	a,	9C	E8	A9	-1
20136	u,死亡騎士\0	a,	9C	E8	A9	-1
20137	u,飛龍\0	a,	9C	E8	A9	-1
20138	u,翼魔\0	a,	9C	E8	A9	-1
20139	u,巨大蜜蜂\0	a,	9C	E8	A9	-1
20140	u,巨大水蛭\0	a,	9C	E8	A9	-1
20141	u,巨大野豬\0	a,	9C	E8	A9	-1
20142	u,獅鷲\0	a,	9C	E8	A9	-1
20143	u,灰熊\0	a,	9C	E8	A9	-1
20144	u,死亡之樹\0	a,	9C	E8	A9	-1
20145	u,鳥妖\0	a,	9C	E8	A9	-1
20146	u,無頭騎士\0	a,	9C	E8	A9	-1
20147	u,哈柏哥布林\0	a,	9C	E8	A9	-1
20148	u,餓靈\0	a,	9C	E8	A9	-1
20149	u,鋼鐵高崙\0	a,	9C	E8	A9	-1
20150	u,食人妖王\0	a,	9C	E8	A9	-1
20151	u,地靈\0	a,	9C	E8	A9	-1
20152	u,蜥蜴人\0	a,	9C	E8	A9	-1
20153	u,魔翼\0	a,	9C	E8	A9	-1
20154	u,曼陀羅草\0	a,	9C	E8	A9	-1
20155	u,曼陀羅草成體\0	a,	9C	E8	A9	-1
20156	u,曼陀羅草完全體\0	a,	9C	E8	A9	-1
20157	u,沼澤司塔卡拓\0	a,	9C	E8	A9	-1
20158	u,梅杜莎\0	a,	9C	E8	A9	-1
20159	u,牛人\0	a,	9C	E8	A9	-1
20160	u,尼勒鋼爪\0	a,	9C	E8	A9	-1
20161	u,奧耶豺狼\0	a,	9C	E8	A9	-1
20162	u,食人魔\0	a,	9C	E8	A9	-1
20163	u,豺狼\0	a,	9C	E8	A9	-1
20164	u,豺狼弓箭手\0	a,	9C	E8	A9	-1
20165	u,豺狼擁護者\0	a,	9C	E8	A9	-1
20166	u,魅魔\0	a,	9C	E8	A9	-1
20167	u,蛇人奴隸\0	a,	9C	E8	A9	-1
20168	u,賽勒諾斯\0	a,	9C	E8	A9	-1
20169	u,骷髏警衛\0	a,	9C	E8	A9	-1
20170	u,史巴托\0	a,	9C	E8	A9	-1
20171	u,幽靈鐮刀\0	a,	9C	E8	A9	-1
20172	u,風妖精\0	a,	9C	E8	A9	-1
20173	u,巨魔\0	a,	9C	E8	A9	-1
20174	u,雙頭巨人\0	a,	9C	E8	A9	-1
20175	u,蘑菇\0	a,	9C	E8	A9	-1
20176	u,亞龍\0	a,	9C	E8	A9	-1
20177	u,人形殭屍\0	a,	9C	E8	A9	-1
20189	u,水晶獅\0	a,	9C	E8	A9	-1
20190	u,骷髏神射手\0	a,	9C	E8	A9	-1
20191	u,骷髏兵\0	a,	9C	E8	A9	-1
20192	u,暴君\0	a,	9C	E8	A9	-1
20193	u,暴君之王\0	a,	9C	E8	A9	-1
20194	u,水精女王\0	a,	9C	E8	A9	-1
20197	u,幽魂\0	a,	9C	E8	A9	-1
20198	u,尼勒鋼爪弗雷克\0	a,	9C	E8	A9	-1
20199	u,安柏邪惡蜥蜴\0	a,	9C	E8	A9	-1
20200	u,倦靈\0	a,	9C	E8	A9	-1
20201	u,食屍鬼\0	a,	9C	E8	A9	-1
20202	u,死亡追蹤者\0	a,	9C	E8	A9	-1
20203	u,狄恩灰熊\0	a,	9C	E8	A9	-1
20204	u,血腥蜜蜂\0	a,	9C	E8	A9	-1
20205	u,惡狼\0	a,	9C	E8	A9	-1
20206	u,卡地普狼人\0	a,	9C	E8	A9	-1
20207	u,豺狼游擊隊\0	a,	9C	E8	A9	-1
20208	u,豺狼突擊兵\0	a,	9C	E8	A9	-1
20209	u,豺狼狙擊兵\0	a,	9C	E8	A9	-1
20210	u,豺狼副隊長\0	a,	9C	E8	A9	-1
20211	u,豺狼隊長\0	a,	9C	E8	A9	-1
20212	u,突魯馬克\0	u,豺狼王\0	9C	E8	A9	-1
20213	u,破塔\0	a,	9C	E8	A9	-1
20214	u,艾斯庫洛\0	a,	9C	E8	A9	-1
20215	u,莫狄奧\0	a,	9C	E8	A9	-1
20216	u,里森席歐\0	a,	9C	E8	A9	-1
20217	u,克雷特\0	a,	9C	E8	A9	-1
20218	u,普勒摩\0	a,	9C	E8	A9	-1
20219	u,瓦里達斯\0	a,	9C	E8	A9	-1
20220	u,迪克爾\0	a,	9C	E8	A9	-1
20221	u,匹黎姆\0	a,	9C	E8	A9	-1
20222	u,特菲\0	a,	9C	E8	A9	-1
20223	u,曼陀羅草新芽\0	a,	9C	E8	A9	-1
20224	u,豺狼巡邏兵\0	a,	9C	E8	A9	-1
20225	u,米斯巨大水蛭\0	a,	9C	E8	A9	-1
20226	u,古代螞蟻\0	a,	9C	E8	A9	-1
20227	u,薄霧撕裂者\0	a,	9C	E8	A9	-1
20228	u,赤螞蟻\0	a,	9C	E8	A9	-1
20229	u,奇異蜜蜂\0	a,	9C	E8	A9	-1
20230	u,沼澤司塔卡拓工人\0	a,	9C	E8	A9	-1
20231	u,安皮克奧\0	a,	9C	E8	A9	-1
20232	u,沼澤司塔卡拓士兵\0	a,	9C	E8	A9	-1
20233	u,沼澤蜘蛛\0	a,	9C	E8	A9	-1
20234	u,雄性沼澤司塔卡拓\0	a,	9C	E8	A9	-1
20235	u,束縛靈\0	a,	9C	E8	A9	-1
20236	u,洞穴僕人\0	a,	9C	E8	A9	-1
20237	u,洞穴僕人弓箭手\0	a,	9C	E8	A9	-1
20238	u,洞穴僕人戰士\0	a,	9C	E8	A9	-1
20239	u,洞穴僕人隊長\0	a,	9C	E8	A9	-1
20240	u,貴族洞穴僕人\0	a,	9C	E8	A9	-1
20241	u,狩獵翼魔\0	a,	9C	E8	A9	-1
20242	u,塵爆\0	a,	9C	E8	A9	-1
20243	u,雷亞龍\0	a,	9C	E8	A9	-1
20244	u,瑪魯克魅魔\0	a,	9C	E8	A9	-1
20245	u,瑪魯克魅魔圖倫\0	a,	9C	E8	A9	-1
20246	u,洞穴守衛\0	a,	9C	E8	A9	-1
20248	u,突倫克食人妖\0	a,	9C	E8	A9	-1
20249	u,突倫克食人妖戰士\0	a,	9C	E8	A9	-1
20250	u,玻璃虎\0	a,	9C	E8	A9	-1
20251	u,德魯蜥蜴人\0	a,	9C	E8	A9	-1
20252	u,德魯蜥蜴人巡守\0	a,	9C	E8	A9	-1
20253	u,德魯蜥蜴人戰士\0	a,	9C	E8	A9	-1
20254	u,骷髏斧手\0	a,	9C	E8	A9	-1
20255	u,巴吐獸人\0	a,	9C	E8	A9	-1
20256	u,巴吐獸人弓箭手\0	a,	9C	E8	A9	-1
20257	u,巴吐獸人戰士\0	a,	9C	E8	A9	-1
20258	u,巴吐獸人巫師\0	a,	9C	E8	A9	-1
20259	u,巴吐獸人王\0	a,	9C	E8	A9	-1
20260	u,獸人英雄\0	a,	9C	E8	A9	-1
20261	u,獸人巫師\0	a,	9C	E8	A9	-1
20265	u,眼怪搜索者\0	a,	9C	E8	A9	-1
20266	u,眼怪凝視者\0	a,	9C	E8	A9	-1
20267	u,布賴卡獸人\0	a,	9C	E8	A9	-1
20268	u,布賴卡獸人弓箭手\0	a,	9C	E8	A9	-1
20269	u,布賴卡獸人巫師\0	a,	9C	E8	A9	-1
20270	u,布賴卡獸人王\0	a,	9C	E8	A9	-1
20271	u,布賴卡獸人戰士\0	a,	9C	E8	A9	-1
20272	u,洞穴僕人\0	a,	9C	E8	A9	-1
20273	u,洞穴僕人弓箭手\0	a,	9C	E8	A9	-1
20274	u,洞穴僕人戰士\0	a,	9C	E8	A9	-1
20275	u,洞穴僕人隊長\0	a,	9C	E8	A9	-1
20276	u,貴族洞穴僕人\0	a,	9C	E8	A9	-1
20277	u,洞穴守衛\0	a,	9C	E8	A9	-1
20279	u,束縛靈\0	a,	9C	E8	A9	-1
20280	u,無頭騎士\0	a,	9C	E8	A9	-1
20281	u,塵爆\0	a,	9C	E8	A9	-1
20282	u,雷亞龍\0	a,	9C	E8	A9	-1
20283	u,瑪魯克魅魔\0	a,	9C	E8	A9	-1
20284	u,瑪魯克魅魔圖倫\0	a,	9C	E8	A9	-1
20285	u,飛龍\0	a,	9C	E8	A9	-1
20286	u,狩獵翼魔\0	a,	9C	E8	A9	-1
20287	u,蛇人之后\0	a,	9C	E8	A9	-1
20291	u,安庫獸人英雄\0	a,	9C	E8	A9	-1
20292	u,安庫獸人巫師\0	a,	9C	E8	A9	-1
20293	u,皮魯德蜥蜴人\0	a,	9C	E8	A9	-1
20294	u,皮魯德蜥蜴人女族長\0	a,	9C	E8	A9	-1
20295	u,皮魯德蜥蜴人戰士\0	a,	9C	E8	A9	-1
20296	u,皮魯德蜥蜴人巡守\0	a,	9C	E8	A9	-1
20297	u,皮魯德蜥蜴人巫師\0	a,	9C	E8	A9	-1
20298	u,皮魯德蜥蜴人巫師\0	a,	9C	E8	A9	-1
20299	u,辛達蜥蜴人\0	a,	9C	E8	A9	-1
20300	u,辛達蜥蜴人女族長\0	a,	9C	E8	A9	-1
20301	u,辛達蜥蜴人巡守\0	a,	9C	E8	A9	-1
20302	u,辛達蜥蜴人戰士\0	a,	9C	E8	A9	-1
20303	u,辛達蜥蜴人巫師\0	a,	9C	E8	A9	-1
20304	u,沼澤司塔卡拓女王\0	a,	9C	E8	A9	-1
20305	u,葛雷姆\0	a,	9C	E8	A9	-1
20307	u,噶倫狼人\0	a,	9C	E8	A9	-1
20308	u,巨勾蜘蛛\0	a,	9C	E8	A9	-1
20309	u,棕色狐狸\0	a,	9C	E8	A9	-1
20310	u,棕熊\0	a,	9C	E8	A9	-1
20311	u,鉤爪安普\0	a,	9C	E8	A9	-1
20312	u,鉤爪安普獵人\0	a,	9C	E8	A9	-1
20313	u,鉤爪安普首領\0	a,	9C	E8	A9	-1
20314	u,大白鯊\0	a,	9C	E8	A9	-1
20316	u,黑翼蝙蝠\0	a,	9C	E8	A9	-1
20317	u,黑毛狼\0	a,	9C	E8	A9	-1
20318	u,黑毛野狼\0	a,	9C	E8	A9	-1
20319	u,盜墓哥布林\0	a,	9C	E8	A9	-1
20320	u,盜墓哥布林隊長\0	a,	9C	E8	A9	-1
20321	u,小偷哥布林\0	a,	9C	E8	A9	-1
20322	u,山賊哥布林\0	a,	9C	E8	A9	-1
20323	u,山賊哥布林隊長\0	a,	9C	E8	A9	-1
20324	u,山賊哥布林副隊長\0	a,	9C	E8	A9	-1
20325	u,哥布林掠奪者\0	a,	9C	E8	A9	-1
20326	u,哥布林巡守\0	a,	9C	E8	A9	-1
20327	u,哥布林搜索員\0	a,	9C	E8	A9	-1
20328	u,哥布林監視員\0	a,	9C	E8	A9	-1
20329	u,鬼魂守護者\0	a,	9C	E8	A9	-1
20330	u,山蝙蝠\0	a,	9C	E8	A9	-1
20331	u,眼怪追捕者\0	a,	9C	E8	A9	-1
20333	u,灰石高崙\0	a,	9C	E8	A9	-1
20334	u,食腐葛林\0	a,	9C	E8	A9	-1
20335	u,大灰熊\0	a,	9C	E8	A9	-1
20336	u,綠色樹精\0	a,	9C	E8	A9	-1
20337	u,長尾狐狸\0	a,	9C	E8	A9	-1
20338	u,夢靨之翼\0	a,	9C	E8	A9	-1
20340	u,奴隸骷髏\0	a,	9C	E8	A9	-1
20341	u,奴隸亡靈\0	a,	9C	E8	A9	-1
20342	u,狼人酋長\0	a,	9C	E8	A9	-1
20343	u,狩獵狼人\0	a,	9C	E8	A9	-1
20345	u,黑夜之懼\0	a,	9C	E8	A9	-1
20346	u,黑暗石高崙\0	a,	9C	E8	A9	-1
20347	u,死亡之刃\0	a,	9C	E8	A9	-1
20348	u,洞穴蜘蛛\0	a,	9C	E8	A9	-1
20349	u,洞穴蝙蝠\0	a,	9C	E8	A9	-1
20350	u,洞穴戮殺者\0	a,	9C	E8	A9	-1
20351	u,德雷巴奴追捕者\0	a,	9C	E8	A9	-1
20352	u,德雷巴奴兇手\0	a,	9C	E8	A9	-1
20353	u,德雷巴奴觀察者\0	a,	9C	E8	A9	-1
20354	u,矮人鬼魂\0	a,	9C	E8	A9	-1
20356	u,朗克蜥蜴人隊長\0	a,	9C	E8	A9	-1
20357	u,朗克蜥蜴人副隊長\0	a,	9C	E8	A9	-1
20358	u,狩獵鼠人\0	a,	9C	E8	A9	-1
20359	u,鼠人戰士\0	a,	9C	E8	A9	-1
20360	u,鼠人間諜\0	a,	9C	E8	A9	-1
20361	u,雷沃恩特獸人射手\0	a,	9C	E8	A9	-1
20362	u,雷沃恩特獸人鬥士隊長\0	a,	9C	E8	A9	-1
20363	u,瑪剌庫狼人\0	a,	9C	E8	A9	-1
20364	u,瑪剌庫狼人首領\0	a,	9C	E8	A9	-1
20365	u,山蘑菇\0	a,	9C	E8	A9	-1
20367	u,梅肯尼斯護衛兵\0	a,	9C	E8	A9	-1
20368	u,守墓人\0	a,	9C	E8	A9	-1
20369	u,月石獸\0	a,	9C	E8	A9	-1
20370	u,長刺蝙蝠\0	a,	9C	E8	A9	-1
20371	u,薄霧之懼\0	a,	9C	E8	A9	-1
20372	u,巴拉克獸人鬥士\0	a,	9C	E8	A9	-1
20373	u,巴拉克獸人鬥士隊長\0	a,	9C	E8	A9	-1
20374	u,巴蘭卡警衛兵\0	a,	9C	E8	A9	-1
20375	u,巴蘭卡護衛兵\0	a,	9C	E8	A9	-1
20376	u,巴里卡盜賊隊長\0	a,	9C	E8	A9	-1
20377	u,巴里卡盜賊\0	a,	9C	E8	A9	-1
20378	u,巨石\0	a,	9C	E8	A9	-1
20379	u,巨石士兵\0	a,	9C	E8	A9	-1
20380	u,巨石守護者\0	a,	9C	E8	A9	-1
20381	u,巴斯獸人\0	a,	9C	E8	A9	-1
20382	u,巴斯獸人隊長\0	a,	9C	E8	A9	-1
20383	u,縛靈\0	a,	9C	E8	A9	-1
20385	u,貝爾勒獸人弓箭手\0	a,	9C	E8	A9	-1
20386	u,貝爾勒獸人鬥士\0	a,	9C	E8	A9	-1
20387	u,貝爾勒獸人鬥士隊長\0	a,	9C	E8	A9	-1
20388	u,貝爾勒獸人鬥士副隊長\0	a,	9C	E8	A9	-1
20389	u,布基鼠人\0	a,	9C	E8	A9	-1
20390	u,布基鼠人隊長\0	a,	9C	E8	A9	-1
20391	u,紅狐狸\0	a,	9C	E8	A9	-1
20392	u,紅眼蝙蝠\0	a,	9C	E8	A9	-1
20393	u,食腐紅蜘蛛\0	a,	9C	E8	A9	-1
20394	u,赤毛狼蜘蛛\0	a,	9C	E8	A9	-1
20398	u,里庫拉卡斯\0	a,	9C	E8	A9	-1
20399	u,里庫拉卡斯之子\0	a,	9C	E8	A9	-1
20400	u,血蘑菇\0	a,	9C	E8	A9	-1
20401	u,必倫食人妖\0	a,	9C	E8	A9	-1
20402	u,必倫食人妖戰士\0	u,變得凶暴的\0	9C	E8	A9	-1
20403	u,獵人狼蛛\0	a,	9C	E8	A9	-1
20404	u,沉靜之懼\0	a,	9C	E8	A9	-1
20405	u,幼棕狐狸\0	a,	9C	E8	A9	-1
20406	u,幼紅狐狸\0	a,	9C	E8	A9	-1
20407	u,幼赤狐狸\0	a,	9C	E8	A9	-1
20410	u,食腐蜘蛛\0	a,	9C	E8	A9	-1
20411	u,食腐蝙蝠\0	u,變得凶暴的\0	9C	E8	A9	-1
20412	u,基座\0	a,	9C	E8	A9	-1
20415	u,猩紅火蜥蜴\0	a,	9C	E8	A9	-1
20416	u,猩紅火蜥蜴利比\0	a,	9C	E8	A9	-1
20418	u,象牙獸\0	a,	9C	E8	A9	-1
20419	u,阿卡斯特魅魔\0	a,	9C	E8	A9	-1
20420	u,阿卡斯特魅魔圖倫\0	a,	9C	E8	A9	-1
20421	u,阿卡斯特魅魔堤佛\0	a,	9C	E8	A9	-1
20422	u,阿卡斯特白骨將軍\0	a,	9C	E8	A9	-1
20423	u,阿卡斯特白骨弓箭手\0	a,	9C	E8	A9	-1
20424	u,阿卡斯特白骨之王\0	a,	9C	E8	A9	-1
20425	u,阿卡斯特白骨士兵\0	a,	9C	E8	A9	-1
20426	u,惡魔之眼\0	a,	9C	E8	A9	-1
20427	u,惡魔之眼監視者\0	a,	9C	E8	A9	-1
20428	u,惡魔之眼巡查者\0	a,	9C	E8	A9	-1
20429	u,惡魔之眼監視哨\0	a,	9C	E8	A9	-1
20431	u,精靈鬼魂\0	a,	9C	E8	A9	-1
20432	u,獨角兔\0	a,	9C	E8	A9	-1
20433	u,疫病蝙蝠\0	a,	9C	E8	A9	-1
20435	u,貓眼獸\0	a,	9C	E8	A9	-1
20436	u,豺狼補充兵\0	a,	9C	E8	A9	-1
20437	u,豺狼新兵\0	a,	9C	E8	A9	-1
20438	u,豺狼將軍\0	a,	9C	E8	A9	-1
20439	u,豺狼下士官\0	a,	9C	E8	A9	-1
20440	u,棕狐狸首領\0	a,	9C	E8	A9	-1
20441	u,長尾狐狸首領\0	a,	9C	E8	A9	-1
20442	u,狼首領\0	a,	9C	E8	A9	-1
20443	u,紅狐狸首領\0	a,	9C	E8	A9	-1
20444	u,赤狐狸首領\0	a,	9C	E8	A9	-1
20445	u,烏山卡海賊\0	a,	9C	E8	A9	-1
20446	u,烏土庫獸人\0	a,	9C	E8	A9	-1
20447	u,烏土庫獸人弓箭手\0	a,	9C	E8	A9	-1
20448	u,烏土庫獸人士兵\0	a,	9C	E8	A9	-1
20449	u,燐火\0	a,	9C	E8	A9	-1
20450	u,遺蹟狼人\0	a,	9C	E8	A9	-1
20451	u,遺蹟史巴托\0	a,	9C	E8	A9	-1
20453	u,人類鬼魂\0	a,	9C	E8	A9	-1
20454	u,被遺忘的監視者\0	a,	9C	E8	A9	-1
20455	u,末日士兵\0	a,	9C	E8	A9	-1
20456	u,灰狼\0	a,	9C	E8	A9	-1
20457	u,人形殭屍士兵\0	a,	9C	E8	A9	-1
20458	u,人形殭屍鬥士\0	u,變得凶暴的\0	9C	E8	A9	-1
20460	u,赤蜘蛛\0	a,	9C	E8	A9	-1
20461	u,地城蜘蛛\0	a,	9C	E8	A9	-1
20462	u,地城戮殺者\0	a,	9C	E8	A9	-1
20463	u,地城骷髏弓箭手\0	a,	9C	E8	A9	-1
20464	u,地城骷髏士兵\0	a,	9C	E8	A9	-1
20465	u,赤狐狸\0	a,	9C	E8	A9	-1
20466	u,長爪蜘蛛\0	a,	9C	E8	A9	-1
20468	u,卡布獸人\0	a,	9C	E8	A9	-1
20469	u,卡布獸人弓箭手\0	a,	9C	E8	A9	-1
20470	u,卡布獸人士兵\0	a,	9C	E8	A9	-1
20471	u,卡布獸人鬥士\0	a,	9C	E8	A9	-1
20472	u,卡布獸人鬥士隊長\0	a,	9C	E8	A9	-1
20473	u,卡布獸人鬥士副隊長\0	a,	9C	E8	A9	-1
20474	u,卡沙蜘蛛\0	a,	9C	E8	A9	-1
20475	u,卡沙狼\0	a,	9C	E8	A9	-1
20476	u,卡沙長齒蜘蛛\0	a,	9C	E8	A9	-1
20477	u,卡沙灰狼\0	a,	9C	E8	A9	-1
20478	u,卡沙刀刃蜘蛛\0	a,	9C	E8	A9	-1
20479	u,卡沙熊\0	a,	9C	E8	A9	-1
20480	u,刀刃蝙蝠\0	a,	9C	E8	A9	-1
20481	u,狐狗\0	a,	9C	E8	A9	-1
20483	u,鬼火\0	a,	9C	E8	A9	-1
20487	u,庫勒卡鼠人\0	a,	9C	E8	A9	-1
20488	u,庫勒卡狩獵鼠人\0	a,	9C	E8	A9	-1
20489	u,閃銀獸\0	a,	9C	E8	A9	-1
20490	u,赤色人偶\0	a,	9C	E8	A9	-1
20491	u,地穴之懼\0	a,	9C	E8	A9	-1
20492	u,克魯納克護衛兵\0	a,	9C	E8	A9	-1
20494	u,土瑞克軍犬\0	a,	9C	E8	A9	-1
20495	u,土瑞克獸人將軍\0	a,	9C	E8	A9	-1
20496	u,土瑞克獸人弓箭手\0	a,	9C	E8	A9	-1
20497	u,土瑞克獸人突襲兵\0	a,	9C	E8	A9	-1
20498	u,土瑞克獸人補充兵\0	a,	9C	E8	A9	-1
20499	u,土瑞克獸人步兵\0	a,	9C	E8	A9	-1
20500	u,土瑞克獸人哨兵\0	a,	9C	E8	A9	-1
20501	u,土瑞克獸人巫師\0	a,	9C	E8	A9	-1
