id[0]	id[1]	id[2]	id[3]	id[4]	id[5]	id[6]	name
27	36	32	38	74	84	77	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
28	36	32	38	74	84	77	u,利用使魔施予傷害。專攻魔法武器以及長袍。召喚獨角獸來進行戰鬥。\0
29	36	32	38	74	84	77	u,屬於隊伍支援型法師。專攻魔法武器以及長袍。利用治癒魔法可恢復隊員的體力。\0
30	36	32	38	74	84	77	u,屬於隊伍支援型法師。專攻魔法武器以及長袍。利用治癒魔法可恢復隊員的體力。\0
31	92	56	77	42	39	35	u,施予近身戰鬥型傷害。可以轉職為各種物理戰鬥型戰士。\0
32	92	56	77	42	39	35	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
33	92	56	77	42	39	35	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
34	92	56	77	42	39	35	u,屬於隊伍支援型戰士。使用雙刀以及重裝甲。透過跳舞，可以提升隊員的能力。\0
35	92	56	77	42	39	35	u,屬於背後襲擊以及遠距離攻擊型戰士。使用匕首和弓類，並裝備輕裝甲。\0
36	92	56	77	42	39	35	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
37	92	56	77	42	39	35	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
38	39	30	37	85	77	73	u,施予魔法攻擊型傷害。可以轉職為各種可施展魔法傷害以及輔助魔法的法師。\0
39	39	30	37	85	77	73	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
40	39	30	37	85	77	73	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
41	39	30	37	85	77	73	u,利用使魔施予傷害。專攻魔法武器以及長袍。召喚幽靈來進行戰鬥。\0
42	39	30	37	85	77	73	u,屬於隊伍支援型法師。專攻魔法武器以及長袍。利用治癒魔法可恢復隊員的體力。\0
43	39	30	37	85	77	73	u,屬於隊伍支援型法師。使用單手鈍器和長袍。利用治癒魔法可恢復隊員的體力。\0
44	88	50	87	37	38	41	u,施予近身戰鬥型傷害。可以轉職為各種物理戰鬥型戰士。\0
45	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備雙手近身武器、重裝甲或輕裝甲。\0
46	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備雙手近身武器、重裝甲或輕裝甲，其特徵是施予強力的一擊。\0
47	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備格鬥武器和輕裝甲。\0
48	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備格鬥武器和輕裝甲，其特徵是運用敏捷的攻擊和鬥力的技能。\0
49	40	23	43	77	74	84	u,施予近身戰鬥型以及魔法攻擊型傷害。隨著成長，可以轉職為輔助魔法師。\0
50	40	23	43	77	74	84	u,施予近身戰鬥型以及魔法攻擊型傷害。可施展輔助魔法、詛咒魔法來協助隊伍。\0
51	40	23	43	77	74	84	u,屬於隊伍支援型法師。使用各種裝備。利用強化魔法可提升血盟成員的能力，也擅長於物理攻擊。\0
52	40	23	43	77	74	84	u,屬於隊伍支援型法師。使用各種裝備。利用強化魔法可提升隊員的能力，也擅長於物理攻擊。\0
53	87	53	85	39	37	40	u,施予近身戰鬥型傷害。可以轉職為收集者以及工匠。\0
54	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。另外也具有收集材料的專業能力。\0
55	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。另外也具有收集材料的專業能力。\0
56	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。具有活用材料來創作的專業能力。\0
57	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。具有活用材料來創作的專業能力。\0
88	88	55	82	39	39	38	u,施予近身戰鬥型傷害。使用雙刀，並裝備重裝甲或輕裝甲，其特徵是運用鬥力來進行攻擊。\0
89	88	55	82	39	39	38	u,施予近身戰鬥型傷害。使用槍，並裝備重裝甲。擅長於使用槍的範圍攻擊。\0
90	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
91	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
92	88	55	82	39	39	38	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
93	88	55	82	39	39	38	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
94	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器、長袍以及符印，其特徵是運用魔法施予強悍的攻擊。\0
95	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器、長袍以及符印，其特徵是運用魔法施予強悍的攻擊。\0
96	38	27	41	79	78	78	u,利用使魔施予傷害。專攻魔法武器、長袍以及符印。召喚貓來進行戰鬥。\0
97	38	27	41	79	78	78	u,屬於隊伍支援型法師。專攻魔法武器、長袍以及符印。利用治癒魔法可恢復隊員的體力。\0
98	38	27	41	79	78	78	u,屬於隊伍支援型法師。專攻魔法武器、長袍以及符印。利用強化魔法可提升隊員的能力。\0
99	82	61	82	41	38	37	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
100	82	61	82	41	38	37	u,屬於隊伍支援型戰士。使用長劍、鈍器以及重裝甲。透過唱歌，可以提升隊員的能力。\0
101	82	61	82	41	38	37	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
102	82	61	82	41	38	37	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
103	36	32	38	74	84	77	u,施予魔法攻擊型傷害。專攻魔法武器、長袍以及符印，其特徵是運用魔法施予強悍的攻擊。\0
104	36	32	38	74	84	77	u,利用使魔施予傷害。專攻魔法武器、長袍以及符印。召喚獨角獸來進行戰鬥。\0
105	36	32	38	74	84	77	u,屬於隊伍支援型法師。專攻魔法武器、長袍以及符印。利用治癒魔法可恢復隊員的體力。\0
106	92	56	77	42	39	35	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
107	92	56	77	42	39	35	u,屬於隊伍支援型戰士。使用雙刀以及重裝甲。透過跳舞，可以提升隊員的能力。\0
108	92	56	77	42	39	35	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
109	92	56	77	42	39	35	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
110	39	30	37	85	77	73	u,施予魔法攻擊型傷害。專攻魔法武器、長袍以及符印，其特徵是運用魔法施予強悍的攻擊。\0
111	39	30	37	85	77	73	u,利用使魔施予傷害。專攻魔法武器、長袍以及符印。召喚幽靈來進行戰鬥。\0
112	39	30	37	85	77	73	u,屬於隊伍支援型法師。專攻魔法武器、長袍以及符印。利用治癒魔法可恢復隊員的體力。\0
113	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備雙手近身武器、重裝甲或輕裝甲，其特徵是施予強力的一擊。\0
114	88	50	87	37	38	41	u,施予近身戰鬥型傷害。裝備格鬥武器和輕裝甲，其特徵是運用敏捷的攻擊和鬥力的技能。\0
115	40	23	43	77	74	84	u,屬於隊伍支援型法師。使用各種裝備。利用強化魔法可提升血盟成員的能力，也擅長於物理攻擊。\0
116	40	23	43	77	74	84	u,屬於隊伍支援型法師。使用各種裝備。利用強化魔法可提升隊員的能力，也擅長於物理攻擊。\0
117	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。另外也具有收集材料的專業能力。\0
118	87	53	85	39	37	40	u,施予近身戰鬥型傷害。專攻鈍器、刀劍以及槍類武器，並裝備重裝甲或輕裝甲。具有活用材料來創作的專業能力。\0
123	88	57	80	43	36	37	u,施予近身戰鬥型傷害。專攻刀劍、細劍以及鈍器，並裝備輕裝甲。隨著成長，可以轉職為裝甲突擊兵。\0
124	88	57	80	43	36	37	u,施予近身戰鬥型傷害。專攻刀劍、細劍以及鈍器，並裝備輕裝甲。隨著成長，可以轉職為狙擊衛士。\0
125	88	57	80	43	36	37	u,施予近身戰鬥型傷害。專攻古代劍以及細劍，並裝備輕裝甲。\0
126	88	57	80	43	36	37	u,施予戰鬥型傷害。專攻弩弓以及細劍，並裝備輕裝甲。\0
127	88	57	80	43	36	37	u,施予近身戰鬥型傷害。裝備古代劍和輕裝甲。\0
128	88	57	80	43	36	37	u,施予近身戰鬥型以及遠距離魔法攻擊型傷害。使用細劍和輕裝甲。\0
129	88	57	80	43	36	37	u,施予近身戰鬥型以及遠距離魔法攻擊型傷害。使用細劍和輕裝甲。\0
130	88	57	80	43	36	37	u,施予遠距離戰鬥型傷害。裝備弩弓和輕裝甲。\0
131	88	57	80	43	36	37	u,施予近身戰鬥型傷害。裝備古代劍和輕裝甲。\0
132	88	57	80	43	36	37	u,施予近身戰鬥型以及遠距離魔法攻擊型傷害。使用細劍和輕裝甲。\0
133	88	57	80	43	36	37	u,施予近身戰鬥型以及遠距離魔法攻擊型傷害。使用細劍和輕裝甲。\0
134	88	57	80	43	36	37	u,施予遠距離戰鬥型傷害。裝備弩弓和輕裝甲。\0
135	88	57	80	43	36	37	u,屬於隊伍支援型法師。使用細劍和輕裝甲。利用強化魔法可提升隊員的能力。\0
136	88	57	80	43	36	37	u,屬於隊伍支援型法師。使用細劍和輕裝甲。利用強化魔法可提升隊員的能力。\0
139	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
140	88	55	82	39	39	38	u,施予近身戰鬥型傷害。使用大部分的近身武器，並裝備重裝甲或輕裝甲，其特徵是運用鬥力來進行攻擊。\0
141	88	55	82	39	39	38	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
142	88	55	82	39	39	38	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
143	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器、長袍以及符印，其特徵是運用魔法施予強悍的攻擊。\0
144	88	55	82	39	39	38	u,屬於隊伍支援型戰士。使用雙刀和輕裝甲。利用強化魔法可提升隊員的能力。\0
145	38	27	41	79	78	78	u,利用使魔施予傷害。專攻魔法武器、長袍以及符印。召喚各種使魔來進行戰鬥。\0
146	38	27	41	79	78	78	u,屬於隊伍支援型法師。專攻魔法武器、長袍以及符印。利用治癒魔法可恢復隊員的體力。\0
