id	name	val1	val2
317	a,ReserveShortcutItem Num=121\0	2117	2817
318	a,ReserveShortcutItem Num=122\0	2118	2818
319	a,ReserveShortcutItem Num=123\0	2119	2819
320	a,ReserveShortcutItem Num=124\0	2120	2820
321	a,ReserveShortcutItem Num=125\0	2121	2821
322	a,ReserveShortcutItem Num=126\0	2122	2822
323	a,ReserveShortcutItem Num=127\0	2123	2823
324	a,ReserveShortcutItem Num=128\0	2124	2824
325	a,ReserveShortcutItem Num=129\0	2125	2825
326	a,ReserveShortcutItem Num=130\0	2126	2826
327	a,ReserveShortcutItem Num=131\0	2127	2827
328	a,ReserveShortcutItem Num=132\0	2128	2828
329	a,ReserveShortcutItem Num=133\0	2129	2829
330	a,ReserveShortcutItem Num=134\0	2130	2830
331	a,ReserveShortcutItem Num=135\0	2131	2831
332	a,ReserveShortcutItem Num=136\0	2132	2832
333	a,ReserveShortcutItem Num=137\0	2133	2833
334	a,ReserveShortcutItem Num=138\0	2134	2834
335	a,ReserveShortcutItem Num=139\0	2135	2835
336	a,ReserveShortcutItem Num=140\0	2136	2836
337	a,ReserveShortcutItem Num=141\0	2137	2837
338	a,ReserveShortcutItem Num=142\0	2138	2838
339	a,ReserveShortcutItem Num=143\0	2139	2839
340	a,UseReservedShortcutItem\0	2140	2840
341	a,MoveUp\0	2141	2841
342	a,MoveDown\0	2142	2842
343	a,MoveUpAirship\0	2143	2843
344	a,MoveDownAirship\0	2144	2844
345	a,AutoMovingForward\0	2145	2845
346	a,StopUseReservedShortcutItem\0	2146	2846
347	a,StopMoveUp\0	2147	2847
348	a,StopMoveDown\0	2148	2848
349	a,StopMoveUpAirship\0	2149	2849
350	a,StopMoveDownAirship\0	2150	2850
351	a,StopMoveAll\0	2151	2851
352	a,StopMoveAirship\0	2152	2852
